comparison,Cohen's d (mean),Cohen's d (median),d_HDI_2.5%,d_HDI_97.5%,P(|d| > 0.2),P(|d| > 0.5),P(|d| > 0.8)
EC - EO+,1.460840631973068,1.448986548825972,0.3456600569411068,2.6683407000534705,0.99,0.95725,0.87175
EC - EO-,2.104274640784947,2.062506057268062,0.8042572544284662,3.505956924210882,0.9985,0.99475,0.9755
EO+ - EO-,0.6434340088118788,0.6199266131398455,-0.74740899421962,2.1726330279084536,0.846,0.6255,0.42525
