group,n,beta_state_mean,beta_obs_mean,R_state_mean,R_state_std,R_obs_mean,R_obs_std
EC,25,1.0983653654832248,-1.177522253216604,2.678209925155979,1.8857249439597288,4.5957700346744845,2.371791591234422
EO+,24,0.6741942761298816,-0.4144359112667371,2.0500072405809875,1.0660263862434713,4.919819522469821,0.9045692294839104
EO-,24,0.4876143490013664,0.0869053377855932,2.5348658228479177,0.8410475616286901,5.511751432474547,0.3253509248383304
