model,RMSE,MAE,R2,correlation,late_residual_mean,late_residual_std,n_predictions
M-obs-fixed,2.7690853359027647,2.0571049575062226,0.023307677224666423,0.42776517349049814,-0.8907372786197395,1.966643224607929,6900
M-obs,2.7693084539274935,2.056171479833667,0.023150277639816474,0.42587790193935526,-0.8876929057722002,1.9665641603032045,6900
M-twoR,2.7640884607209424,2.047551548360571,0.026829422229531996,0.4104960844136583,-0.8782944946335928,1.9629219097215682,6900
