subject,group,trial,error
EC_003,EC,84,0.7672916657000001
EC_003,EC,85,3.9158333284
EC_003,EC,86,-1.8256249977
EC_003,EC,87,-2.0372916641
EC_003,EC,88,2.9897916629
EC_003,EC,89,0.2910416663
EC_003,EC,90,-0.2910416663
EC_003,EC,91,2.0902083307
EC_003,EC,92,-1.6404166646
EC_003,EC,93,0.9789583321
EC_003,EC,94,3.3072916625
EC_003,EC,95,-1.6404166646
EC_003,EC,96,1.058333332
EC_003,EC,97,-0.5027083327
EC_003,EC,98,4.4185416611
EC_003,EC,99,-0.1587499998
EC_003,EC,100,3.174999996
EC_004,EC,1,9.9483333208
EC_004,EC,2,11.2447916525
EC_004,EC,3,-2.8839583297
EC_004,EC,4,0.0529166666
EC_004,EC,5,4.206874994700001
EC_004,EC,6,5.0535416603000005
EC_004,EC,7,7.3024999908
EC_004,EC,8,4.1804166614
EC_004,EC,9,10.0012499874
EC_004,EC,10,7.196666657600001
EC_004,EC,11,5.6885416595
EC_004,EC,12,8.0168749899
EC_004,EC,13,8.175624989700001
EC_004,EC,14,-0.5027083327
EC_004,EC,15,10.7685416531
EC_004,EC,16,4.8154166606
EC_004,EC,17,6.2706249921
EC_004,EC,18,6.7733333248
EC_004,EC,19,2.9633333296
EC_004,EC,20,5.8737499926000005
EC_004,EC,21,4.6037499942
EC_004,EC,22,2.0372916641
EC_004,EC,23,6.4293749919000005
EC_004,EC,24,2.7252083299
EC_004,EC,25,2.4077083303
EC_004,EC,26,2.4606249969
EC_004,EC,27,1.1641666652
EC_004,EC,28,1.3493749983
EC_004,EC,29,6.1647916589000005
EC_004,EC,30,2.5399999968
EC_004,EC,31,2.8310416631
EC_004,EC,32,-4.8154166606
EC_004,EC,33,2.9897916629
EC_004,EC,34,3.8893749951
EC_004,EC,35,0.2116666664
EC_004,EC,36,2.0637499974
EC_004,EC,37,4.471458327700001
EC_004,EC,38,0.7408333324
EC_004,EC,39,0.5820833326
EC_004,EC,40,1.0054166654
EC_004,EC,41,1.2964583317
EC_004,EC,42,2.2489583305000003
EC_004,EC,43,-0.7408333324
EC_004,EC,44,5.3181249933000005
EC_004,EC,45,1.6139583313
EC_004,EC,46,4.3920833278
EC_004,EC,47,3.5454166622
EC_004,EC,48,4.6566666608
EC_004,EC,49,3.2543749959
EC_004,EC,50,0.4233333328
EC_004,EC,51,1.6668749979000002
EC_004,EC,52,4.0216666616
EC_004,EC,53,1.9843749975
EC_004,EC,54,-1.2699999984
EC_004,EC,55,4.6831249941
EC_004,EC,56,2.0902083307
EC_004,EC,57,1.7727083311
EC_004,EC,58,3.6512499954
EC_004,EC,59,3.4924999956
EC_004,EC,60,5.9795833258
EC_004,EC,61,-1.852083331
EC_004,EC,62,-1.4552083315
EC_004,EC,63,1.4552083315
EC_004,EC,64,1.9843749975
EC_004,EC,65,0.7143749991
EC_004,EC,66,5.3974999932
EC_004,EC,67,-0.0793749999
EC_004,EC,68,1.1377083319
EC_004,EC,69,0.2910416663
EC_004,EC,70,1.7991666644000002
EC_004,EC,71,3.8099999952
EC_004,EC,72,-2.1431249973
EC_004,EC,73,3.1485416627
EC_004,EC,74,2.4606249969
EC_004,EC,75,-0.9524999988
EC_004,EC,76,1.5081249981
EC_004,EC,77,2.2224999972
EC_004,EC,78,1.7991666644000002
EC_004,EC,79,3.5983333288000003
EC_004,EC,80,0.6879166658
EC_004,EC,81,1.4022916649
