model,RMSE,MAE,R2,correlation,n_predictions
M0,4.1082020747237245,3.3861055279522323,-1.1497536233991257,0.18596546373277484,6900
M1,4.050698678395454,3.330634454563341,-1.0899936712605016,0.17943248825220787,6900
M1-EXP,4.012356296259318,3.2914573910889775,-1.0506147507621328,0.1773299806050035,6900
M2,4.07947383455529,3.356867904746096,-1.1197927298834913,0.1821010928766344,6900
