subject,group,mean_error,sd_error,early_mean_error,late_mean_error,adapt_gain
EC_002,EC,2.164556247273,2.1619096029515568,2.8336874964299996,2.06639583073,0.7672916656999997
EC_003,EC,1.112308331932,2.7233198110618244,2.84427082975,1.10860416527,1.73566666448
EC_004,EC,2.630222913353,2.9367175157569854,5.630333326240001,1.15887499854,4.471458327700001
EC_005,EC,3.1749999960000004,2.6644304509031738,8.27881248957,1.29381249837,6.9849999912000005
EC_006,EC,2.42622916361,2.504077051771538,5.6091666596,1.03452083203,4.5746458275699995
EC_007,EC,1.405995831562,2.171209136503682,4.24127082799,0.90752083219,3.3337499958000003
EC_008,EC,1.470818748147,3.246279011693596,5.20964582677,0.83079166562,4.3788541611500005
EC_009,EC,1.479285414803,2.464769992482789,4.082520828190001,0.1852083331,3.897312495090001
EC_010,EC,0.9413874988140001,1.8481243998111672,2.00818749747,1.39699999824,0.6111874992299997
EC_011,EC,1.004093748735,3.5116924691536844,7.754937490230001,-1.04774999868,8.802687488910001
EC_012,EC,3.671622912041,2.4297292358595923,7.111999991039999,2.5929166634,4.519083327639999
EC_013,EC,1.021027082047,2.6904788396596095,6.0907083256600005,0.3174999996,5.773208326060001
EC_014,EC,1.540668748059,2.8725205241026917,6.2706249921,0.46566666608,5.80495832602
EC_015,EC,1.418431248213,1.768660546954581,2.92364582965,1.10066666528,1.82297916437
EC_016,EC,1.027641665372,1.7892616212674834,3.92377082839,0.18256249977,3.74120832862
EC_017,EC,1.921404164246,3.571156856217905,6.36058332532,1.8388541643499998,4.5217291609700005
EC_018,EC,1.030552082035,1.9909310899928114,3.93170832838,0.9763124987700001,2.95539582961
EC_019,EC,0.7363354157390001,2.1871674367109826,4.1010416615,0.17727083311000005,3.92377082839
EC_020,EC,1.079235415307,2.0163933402919083,2.70668749659,0.8228541656299999,1.88383333096
EC_021,EC,1.9375437475590003,3.0794706390506783,7.80256249017,0.46037499942000004,7.34218749075
EC_022,EC,2.838714579757,2.1533743169354413,6.7706874914699995,1.96849999752,4.802187493949999
EC_023,EC,0.694266665792,2.4322518935204633,2.0425833307600003,0.7408333324,1.3017499983600003
EC_024,EC,1.637241664604,3.3998373962188135,7.3818749907,0.9260416655,6.4558333252
EC_025,EC,0.927099998832,1.957533511777065,2.48443749687,1.18268749851,1.30174999836
EC_026,EC,2.0835937473749997,2.5397532603011586,5.81289582601,1.45256249817,4.36033332784
EO+_001,EO+,0.6815666658080001,2.1656266821857195,2.09549999736,0.94985416547,1.14564583189
EO+_002,EO+,1.9198166642480001,3.591132459767089,7.9110416567,1.37054166494,6.54049999176
EO+_003,EO+,1.419224998212,3.4274955263821147,6.926791657939999,0.9445624988100001,5.982229159129999
EO+_004,EO+,0.8813270822229999,3.547073052386874,3.26231249589,-0.35189583289000004,3.6142083287799998
EO+_005,EO+,1.248039581761,2.3051398236340734,3.8126458285300004,1.18797916517,2.62466666336
EO+_006,EO+,0.6318249992039999,2.152638581725829,3.10885416275,0.38099999952,2.72785416323
EO+_007,EO+,1.5528395813770002,2.94982927206493,5.31283332664,0.93133333216,4.3814999944799995
EO+_008,EO+,5.7631541594060005,2.3921894282006675,8.05920832318,5.86052082595,2.19868749723
EO+_009,EO+,2.0052770808069997,2.8600088608961354,4.762499994000001,1.5213541647500002,3.2411458292500006
EO+_010,EO+,2.175933330592,2.759570506166535,8.752416655640001,0.40745833282,8.344958322820002
EO+_012,EO+,1.6340666646080002,1.8487132988765684,3.26231249589,0.61647916589,2.64583333
EO+_013,EO+,1.9055291642660002,2.4298314566158172,4.22539582801,1.4261041648700001,2.79929166314
EO+_014,EO+,1.8928291642819999,2.1315917987476767,4.6037499942,2.06110416407,2.54264583013
EO+_015,EO+,0.37200416619800003,2.004743404435247,2.11931249733,-0.18256249977,2.3018749971
EO+_016,EO+,0.550862499306,2.4378078581130613,2.06639583073,-0.32808333292,2.39447916365
EO+_017,EO+,1.9785541641740003,2.7545062823257718,6.28649999208,1.2964583317,4.99004166038
EO+_018,EO+,1.395677081575,2.4900309938656964,3.95816666168,1.7621249977799998,2.1960416639
EO+_019,EO+,0.714110415767,2.072426125170893,2.4288749969400003,0.70908333244,1.7197916645000002
EO+_020,EO+,2.476235413547,1.922812086228166,5.54302082635,1.44727083151,4.09574999484
EO+_021,EO+,1.11654166526,1.9892242211713258,2.52941666348,1.73566666448,0.7937499990000001
EO+_022,EO+,0.46646041607899996,2.7345751328886134,2.8654374963900002,0.21431249973000002,2.65112499666
EO+_023,EO+,1.5562791647060001,2.472719151809619,5.16731249349,1.5769166646800001,3.5903958288099997
EO+_024,EO+,1.739370831142,2.2373992689195,6.44789582521,0.30691666628000003,6.14097915893
EO-_001,EO-,0.7426854157310001,3.2324530025633753,2.41035416363,1.0318749987,1.3784791649300001
EO-_002,EO-,2.697427079935,3.320844501785698,8.162395823050002,0.7355416657399999,7.426854157310002
EO-_003,EO-,3.7136916619880003,2.7177305258076734,8.90587498878,2.08756249737,6.818312491410001
EO-_004,EO-,2.62202083003,3.081095119959794,6.91356249129,1.5742708313500002,5.339291659939999
EO-_005,EO-,2.404533330304,3.120695283301306,9.480020821390001,1.03716666536,8.442854156030002
EO-_006,EO-,0.909637498854,2.9442100283554478,1.99495833082,1.34143749831,0.6535208325100001
EO-_007,EO-,0.520170832678,2.248331669613916,1.55045833138,0.6349999991999999,0.9154583321800001
EO-_008,EO-,2.133335413979,2.369752970575649,6.83947915805,0.40481249949000003,6.434666658559999
EO-_009,EO-,1.592527081327,2.0551239144038687,2.8522083297400003,1.11654166526,1.7356666644800003
EO-_010,EO-,1.853141664332,2.825141948889721,6.667499991600001,0.43920833278,6.228291658820001
EO-_013,EO-,0.260614583005,2.9793596481118336,1.61131249797,-0.18785416643000002,1.7991666644
EO-_014,EO-,0.8927041655419999,2.1033710857337367,1.5742708313499998,0.08466666656,1.4896041647899998
EO-_015,EO-,0.551127082639,2.270289689945489,4.53231249429,-0.3307291662500001,4.86304166054
EO-_016,EO-,1.476904164806,2.696467871646053,3.7517916619399996,1.00012499874,2.7516666631999995
EO-_017,EO-,0.9778999987679999,3.2304828763324083,4.1857083280600005,1.00277083207,3.1829374959900005
EO-_018,EO-,1.014412498722,2.5545245274202277,3.3946041623900003,1.3784791649300001,2.0161249974600004
EO-_019,EO-,1.227137498454,2.935290969614755,6.013979159090001,1.6483541645900002,4.365624994500001
EO-_020,EO-,2.7633083298520003,3.3777065812205316,5.0535416603000005,2.70139582993,2.3521458303700005
EO-_021,EO-,2.706422913257,3.3926105937825723,9.17045832178,0.99483333208,8.1756249897
EO-_022,EO-,2.898510413015,3.1542048088666594,5.2122916601,1.77006249777,3.4422291623300003
EO-_023,EO-,2.184135413915,2.3826285641205005,6.29179165874,1.19327083183,5.098520826910001
