model,group_specific,fit_plateau,plateau_group_specific,metric,n_subjects,n_trials,waic,waic_se,waic_p,loo,loo_se,loo_p,max_rhat,min_ess_bulk,min_ess_tail,b_EC,b_EO+,b_EO-,beta_EC,beta_EO+,beta_EO-,beta_q_EC,beta_q_EO+,beta_q_EO-,Pr_beta_q_gt0_EC,Pr_beta_q_gt0_EO+,Pr_beta_q_gt0_EO-,beta_r_EC,beta_r_EO+,beta_r_EO-,Pr_beta_r_gt0_EC,Pr_beta_r_gt0_EO+,Pr_beta_r_gt0_EO-,lam_EC,lam_EO+,lam_EO-,lam_saturated_EC,lam_saturated_EO+,lam_saturated_EO-,Pr_lam_gt0_EC,Pr_lam_gt0_EO+,Pr_lam_gt0_EO-
M0,True,True,True,logpi,69,100,46983.507254894976,1980.6919829890853,2.7007398296365897,46983.519388686356,1980.691654146116,2.706806725323986,1.0,7335.0,5480.0,13.858056611681654,13.745982917916162,13.889553602321364,,,,,,,,,,,,,,,,,,,,,,,,
M1,True,True,True,logpi,69,100,44688.482234736184,2235.99975742279,317.53550285946596,44580.926166391386,2186.0133973753104,263.75746868706483,1.0,10745.0,5343.0,13.843117306503302,13.74673189323533,13.872730850635776,0.9475999088352611,0.890804507097219,1.7270805837520742,,,,,,,,,,,,,,,,,,,,,
M1-EXP,True,True,True,logpi,69,100,44424.85083488685,2256.6687572429255,298.31639552031413,44359.95355493323,2237.3927478551404,265.8677555435024,1.0,10442.0,5543.0,13.843800531113065,13.742538682380872,13.86526347684298,0.9736589934848648,0.9093269805147355,0.9234099634346329,,,,,,,,,,,,,,,,,,,,,
M-Q,True,True,True,logpi,69,100,57421.12788179362,6538.574631078062,7020.652268663368,44607.77457857493,1906.2455260908348,613.9756170540168,1.53,7.0,28.0,15.067369370462245,14.291743136452961,14.476398747724687,,,,9.760089426445813,6.1760906310963755,7.640045158088367,1.0,0.75,1.0,,,,,,,,,,,,,,,
M-HYBRID,True,True,True,logpi,69,100,48159.964230364465,3153.1249753519214,3154.609295849675,43302.823224937856,2010.6230342623037,726.0387931363766,1.53,7.0,27.0,15.049093103470005,14.342797284034617,14.320437404722751,,,,9.442857466192482,-18.689036032061196,6.03144341896493,1.0,0.0,0.75,0.24443431100508284,1.205172937605943,0.7631833618963642,1.0,1.0,1.0,,,,,,,,,
M2,True,True,True,logpi,69,100,45715.10088244819,2158.582026950372,292.49044077338203,45640.175195403855,2138.54501067793,255.02759725121723,1.0,10837.0,4887.0,13.849866915471752,13.744993242871583,13.878829062586277,,,,,,,,,,,,,,,,-0.7009048768855962,-0.7280245021153476,-0.642720984816356,0.0,0.0,0.0,0.0,0.0,0.0
