subject,group,delta_log_pi,state_slope,error_slope,early_state,late_state,early_error,late_error
EC_002,EC,0.3045217183708338,0.1435140385353606,0.23106944415333341,-0.5638297166745219,-0.42031567813916126,2.6423055522266665,2.411236108073333
EC_003,EC,0.1960490488687336,1.124310200059922,1.30174999836,-0.9996780299067552,0.12463217015316687,2.472972219106667,1.171222220746667
EC_004,EC,-0.0090261858183224,-0.254793089271415,0.7602361101533344,-3.0459851966890383,-3.3007782859604533,5.8966805481266675,5.136444437973333
EC_005,EC,-0.099474567368361,-0.036114356794647584,2.6193749966999995,-3.8643291394327206,-3.900443496227368,7.590013879326667,4.970638882626668
EC_006,EC,-0.239475235802857,1.4620533982762192,2.039055552986667,-2.6141683725933307,-1.1521149743171115,3.6194999954400005,1.5804444424533335
EC_007,EC,1.1459855381949238,1.3786423921332047,1.5345833313999995,-2.2385004145718037,-0.859858022438599,3.3072916624999995,1.7727083311
EC_008,EC,-0.4179691745644294,2.2569881529579625,2.490611107973333,-3.953683052605077,-1.6966948996471147,4.4291249944199995,1.9385138864466667
EC_009,EC,0.259319441760356,2.3508840233028634,1.9155833309200008,-3.0335501841824613,-0.6826661608795977,3.242027773693334,1.3264444427733333
EC_010,EC,0.0199434417509496,1.0955432539952916,0.13581944427333315,-0.520911608228509,0.5746316457667827,1.3775972204866664,1.2417777762133333
EC_011,EC,-0.1596916265330119,3.5689371742762783,5.117041660220001,-6.0262896279991915,-2.457352453722913,5.224638882306667,0.10759722208666661
EC_012,EC,0.2206976580399605,0.19375038841876968,1.5275277758533345,-3.7658934110575846,-3.572143022638815,6.584597213926667,5.0570694380733325
EC_013,EC,1.0276479157624256,1.5934136308284734,4.263319439073334,-2.806712224084046,-1.2132985932555727,4.332111105653334,0.06879166658000004
EC_014,EC,0.2467097423523614,0.7462081463008032,2.9933194406733326,-2.7657070293063044,-2.019498883005501,5.245805548946666,2.252486108273333
EC_015,EC,-0.1232367903539939,1.0185849675947467,1.0177638876066661,-1.0362971563483123,-0.017712188753565505,2.358319441473333,1.3405555538666667
EC_016,EC,0.8463283467670089,0.7898867126090637,1.4781388870266665,-1.5760075466734913,-0.7861208340644276,3.32845832914,1.8503194421133335
