group,mean,median,sd,HDI_2.5%,HDI_97.5%,P(β < 0),P(β < -0.5),P(β < -1.0)
EC,-1.1419749032559985,-1.1426547196994554,0.17082326152530003,-1.4862077519138972,-0.8156541722894424,1.0,1.0,0.789
EO+,-0.41970180528536566,-0.41479752605372844,0.1500959849559924,-0.7281561252456075,-0.13232852329017017,0.99925,0.2885,0.0
EO-,0.07827517728578183,0.0800883784000431,0.1253642508712344,-0.17093563642775259,0.321648820882735,0.272,0.0,0.0
