comparison,P(more_negative),P(less_negative),diff_mean,diff_median,diff_sd,HDI_2.5%,HDI_97.5%
EC vs EO+,0.99975,0.00025,-0.7222730979706327,-0.7199841209341363,0.2291411664673549,-1.167444287390844,-0.27266631424485677
EC vs EO-,1.0,0.0,-1.2202500805417802,-1.2190175319235141,0.21139348882405254,-1.627916395444139,-0.8034751925857874
EO+ vs EO-,0.9955,0.0045,-0.4979769825711475,-0.49704578501017527,0.19691428840698372,-0.8835416327845118,-0.1159269674379742
