ordering,probability
EC < EO+ < EO- (expected),0.99525
EC < EO- < EO+,0.0045
EO+ < EC < EO-,0.00025
EO+ < EO- < EC,0.0
EO- < EC < EO+,0.0
EO- < EO+ < EC,0.0
