model,metric,n_subjects,n_trials,waic,waic_se,waic_p,loo,loo_se,loo_p,max_rhat,min_ess_bulk,min_ess_tail,b_EC,b_EO+,b_EO-,beta_cog_EC,beta_cog_EO+,beta_cog_EO-,V0_EC,V0_EO+,V0_EO-,beta_R_EC,beta_R_EO+,beta_R_EO-,V_cog_EC,V_cog_EO+,V_cog_EO-
M2,logpi,72,100,34974.934279228604,330.56506200924815,48.2628925574569,34976.16769147313,330.50046232093365,48.87959867971949,1.0,3440.0,2453.0,14.370902526094062,14.57596893892411,14.475640458475668,-1.1426547196994554,-0.4147975260537284,0.0800883784000431,5.797375282963387,5.324205554785564,5.407721948838976,1.1239270735996238,0.6735059509203751,0.4912886054630436,,,
M3,logpi,72,100,35036.41685400392,331.25215319905413,50.070520087652056,35036.64979875708,330.9462029052068,50.18699246423057,1.0,2954.0,2782.0,14.414245225242738,14.50809081073128,14.473641690233904,-1.5969686313577365,-0.4855224097813864,0.0606981021302053,,,,1.085156464894579,0.6638068051824818,0.4780649204698645,4.339889612368182,3.7887072067439744,3.7739262602276753
