group,mean,median,sd,HDI_2.5%,HDI_97.5%,P(β < 0),P(β < -0.5),P(β < -1.0)
EC,-1.600654380121154,-1.5969686313577363,0.2411320138528255,-2.085644152192178,-1.1481990377048623,1.0,1.0,0.99525
EO+,-0.4933295753857334,-0.48552240978138644,0.2019306227246466,-0.8975831606804697,-0.11748921854687236,0.9975,0.47325,0.0075
EO-,0.0580092657941552,0.06069810213020539,0.1463579796442479,-0.2459173834788037,0.3317993313124574,0.3395,0.0,0.0
