comparison,P(more_negative),P(less_negative),diff_mean,diff_median,diff_sd,HDI_2.5%,HDI_97.5%
EC vs EO+,0.99975,0.00025,-1.1073248047354205,-1.1092827090497908,0.31569439398401555,-1.7100954174757048,-0.4924888381997808
EC vs EO-,1.0,0.0,-1.6586636459153092,-1.6558042410433884,0.28292617183171964,-2.2286528841964928,-1.113550645466909
EO+ vs EO-,0.98925,0.01075,-0.5513388411798886,-0.5489412038408847,0.2494210245657498,-1.0457513040029895,-0.08534193298848312
