ordering,probability
EC > EO+ > EO-,0.80375
EC > EO- > EO+,0.18925
EO+ > EC > EO-,0.00675
EO- > EC > EO+,0.00025
EO+ > EO- > EC,0.0
EO- > EO+ > EC,0.0
