,ID,session,modality,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,EO-_001,pre,visual,0.9260416655,-0.1852083331,1.0583333320000001,-0.3174999996,-0.0264583333,0.3704166662,0.1058333332,0.1852083331,0.0793749999,-0.0793749999,0.44979166610000004,0.0,-0.13229166650000002,-0.26458333300000003,0.0264583333,0.0,-0.3968749995,0.4762499994,-0.1058333332,-0.6349999992,-0.2910416663,0.0,0.1058333332,-0.26458333300000003,-0.26458333300000003,-0.3439583329,0.8731249989000001,0.0,-0.5556249993,-0.5291666660000001,0.2910416663,-0.4233333328,0.2116666664,0.0264583333,-0.3968749995,-0.8466666656,-0.5027083327,0.6085416659,-0.0793749999,-0.3439583329
1,EO-_002,pre,visual,0.5027083327,0.4233333328,0.3704166662,-0.1058333332,0.5291666660000001,0.7408333324,0.6349999992,0.13229166650000002,0.1058333332,0.1058333332,-0.13229166650000002,0.1587499998,-0.1852083331,0.2116666664,-0.2910416663,-0.3174999996,-0.2381249997,-0.3704166662,-0.6349999992,0.0,0.0,0.4233333328,0.0793749999,-0.0264583333,-0.2116666664,-0.2910416663,-0.3968749995,-0.4233333328,-0.3968749995,0.0529166666,-0.3968749995,0.1587499998,0.2116666664,-0.0264583333,-0.3968749995,-0.0264583333,-0.8466666656,-0.3968749995,-0.0793749999,-0.3968749995
2,EO-_003,pre,visual,0.1852083331,1.1906249985000001,-0.7408333324,-0.5291666660000001,0.44979166610000004,-0.7143749991,-0.3174999996,0.6085416659,0.3439583329,-0.0264583333,1.0583333320000001,-0.6349999992,-3.0956249961,-0.0264583333,-0.0529166666,0.8466666656,-0.8466666656,-3.704166662,-1.7991666644000002,-1.1377083319,1.6404166646,0.0793749999,1.1377083319,-0.6879166658,-0.1587499998,0.1852083331,-0.8731249989000001,-1.2699999984,-0.0529166666,2.5929166634,1.6933333312,2.0372916641,-0.7672916657000001,-0.13229166650000002,1.3493749983,1.8785416643000001,-1.9843749975,-0.5291666660000001,1.6933333312,0.0264583333
3,EO-_004,pre,visual,0.0264583333,-0.7672916657000001,1.0583333320000001,1.5610416647,2.6722916633000002,-1.9843749975,1.4022916649000001,1.2170833318,0.4233333328,-0.3704166662,-1.7727083311,1.8256249977,2.7516666632,1.7991666644000002,2.4341666636,-0.0793749999,-0.9260416655,2.1695833306,0.2116666664,4.1804166614,-0.9789583321,0.1587499998,2.9633333296,0.4762499994,1.4022916649000001,1.2699999984,0.8466666656,0.44979166610000004,1.0847916653,-0.0264583333,1.5610416647,-0.2116666664,0.8995833322000001,0.6349999992,2.6193749967,0.3968749995,1.4816666648,1.3493749983,0.9260416655,0.0
4,EO-_005,pre,visual,-0.6879166658,-1.0583333320000001,-1.2170833318,0.3439583329,-1.2435416651,0.0,0.6349999992,-1.2699999984,-0.44979166610000004,-0.9260416655,0.3968749995,-0.1852083331,-0.2910416663,-1.2964583317,-0.4233333328,-0.26458333300000003,-0.6614583325000001,-0.3968749995,-0.0793749999,-0.3704166662,0.0,-0.1587499998,-0.4762499994,-0.5556249993,-0.5556249993,-0.3968749995,0.0264583333,-0.4233333328,-0.9789583321,-0.4762499994,-0.1852083331,-1.1906249985000001,-0.5291666660000001,-0.7672916657000001,-0.6349999992,-0.1058333332,-0.7408333324,0.1587499998,-0.3174999996,-0.8466666656
5,EO-_006,pre,visual,0.1587499998,0.3704166662,0.4233333328,-0.1058333332,0.4233333328,-0.793749999,-0.3439583329,0.2116666664,0.2116666664,0.4762499994,-0.2381249997,0.0,-0.6349999992,-0.2116666664,-0.6085416659,0.0,0.1852083331,-1.0054166654,-0.13229166650000002,-0.4233333328,0.13229166650000002,-0.3704166662,-0.26458333300000003,0.1852083331,0.13229166650000002,0.1058333332,-0.7672916657000001,0.3174999996,0.0529166666,-0.0793749999,-0.5027083327,-0.8466666656,0.2116666664,-0.5291666660000001,0.3968749995,0.13229166650000002,-0.2116666664,0.4233333328,-0.0264583333,-0.2116666664
6,EO-_007,pre,visual,-0.0529166666,-0.0793749999,0.2381249997,-0.5027083327,0.4233333328,-0.13229166650000002,-0.44979166610000004,0.26458333300000003,0.2381249997,-0.4233333328,-0.44979166610000004,-0.2381249997,0.3968749995,-0.9789583321,-0.44979166610000004,-0.3174999996,-0.1852083331,0.0529166666,-0.0264583333,-0.2116666664,0.5027083327,0.0793749999,0.2116666664,-0.3439583329,-0.5027083327,0.0529166666,-0.1587499998,-0.8466666656,-0.6349999992,0.1852083331,-0.5556249993,-0.3968749995,-0.9524999988,-0.4233333328,-0.44979166610000004,0.2116666664,-0.2116666664,-0.8995833322000001,-0.6349999992,-0.1587499998
7,EO-_008,pre,visual,0.0793749999,0.5820833326,-0.1058333332,0.2116666664,-0.6349999992,-0.5027083327,0.0793749999,-0.9260416655,0.0529166666,0.1852083331,-0.7408333324,-0.1058333332,-0.3439583329,-0.2381249997,-0.0793749999,-0.13229166650000002,-0.9789583321,-0.3704166662,-0.3174999996,-0.5291666660000001,-0.3174999996,-0.4233333328,-0.8466666656,-0.5291666660000001,-0.9789583321,-0.3704166662,-0.4233333328,-0.8466666656,-0.5820833326,-0.4233333328,-1.4022916649000001,-0.0529166666,-1.4022916649000001,-0.6085416659,-0.4762499994,-1.2435416651,-0.6614583325000001,-1.2435416651,-1.0054166654,-0.5291666660000001
8,EO-_009,pre,visual,0.3174999996,0.793749999,-0.0793749999,-0.5291666660000001,0.0529166666,0.6085416659,0.1058333332,0.1587499998,0.3968749995,0.4233333328,-0.6614583325000001,0.0793749999,-0.5820833326,0.1587499998,0.1852083331,0.1058333332,-0.2116666664,-0.3174999996,-0.1852083331,-0.13229166650000002,0.6349999992,0.0,-0.0529166666,-0.13229166650000002,-0.5027083327,0.7672916657000001,-0.26458333300000003,-0.2116666664,0.2910416663,-0.4762499994,0.0529166666,-0.2116666664,-0.4233333328,-0.0793749999,-0.6614583325000001,-0.6879166658,0.2381249997,-0.3968749995,-0.6349999992,0.1587499998
9,EO-_010,pre,visual,-0.1587499998,0.3968749995,0.2116666664,-0.1587499998,-0.0793749999,0.13229166650000002,-0.4233333328,0.0264583333,0.0,-0.6085416659,-0.2116666664,-0.0793749999,-0.2381249997,-0.4762499994,-0.6085416659,-0.26458333300000003,-0.2116666664,-0.8466666656,-0.5556249993,-0.13229166650000002,-0.3968749995,-0.2116666664,-0.0529166666,-0.26458333300000003,-0.2116666664,-0.2116666664,-0.13229166650000002,-0.3174999996,-0.13229166650000002,-0.1852083331,-0.2116666664,-0.4233333328,-0.8731249989000001,-0.6349999992,-0.6349999992,-0.9524999988,-0.2381249997,0.13229166650000002,-1.1112499986,-0.2910416663
10,EO-_011,pre,visual,0.0,0.0,0.2116666664,0.8466666656,0.4762499994,0.4233333328,-0.3439583329,0.2910416663,-0.5556249993,-0.0264583333,-0.3439583329,0.1852083331,0.0,-0.0264583333,0.26458333300000003,-0.6349999992,0.9789583321,0.2116666664,-1.0583333320000001,0.0,0.1058333332,0.7408333324,0.26458333300000003,-0.26458333300000003,0.2116666664,-0.0529166666,0.13229166650000002,-0.44979166610000004,1.2699999984,-0.8466666656,-0.5556249993,-1.0583333320000001,0.0529166666,-0.8466666656,-0.9789583321,0.1587499998,-0.1852083331,-0.1058333332,-0.2910416663,-0.3704166662
11,EO-_012,pre,visual,4.206874994700001,-0.6879166658,-0.6349999992,-1.5610416647,-0.5820833326,-0.4233333328,-0.8731249989000001,-0.13229166650000002,-1.2699999984,0.2910416663,-0.2116666664,0.2381249997,-0.2910416663,0.2116666664,-1.0318749987,-0.4233333328,-0.0529166666,-1.1377083319,0.6349999992,-0.5820833326,0.6879166658,-0.3968749995,-0.3174999996,-0.2910416663,0.0,0.0793749999,0.2116666664,0.0,-0.1587499998,-0.26458333300000003,0.2116666664,-0.1587499998,-0.5820833326,-0.7143749991,0.6085416659,-0.2116666664,-0.7408333324,-0.2910416663,-0.5820833326,-1.6933333312
