,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
0,EO-_001,1.1377083319,0.0793749999,-0.2910416663,1.6404166646,-0.2381249997,0.1587499998,-0.2910416663,-0.2381249997,0.6614583325000001,0.2910416663,-0.0264583333,1.2435416651,0.1587499998,0.26458333300000003,1.0054166654,2.3547916637,0.7408333324,0.4233333328,-1.1112499986,1.2699999984,1.587499998,-0.4762499994,1.0054166654,-1.1112499986,1.5610416647,-0.0793749999,0.2381249997,0.8202083323,0.6085416659,0.6349999992,-0.6085416659,0.3439583329,-0.13229166650000002,0.6349999992,0.1852083331,1.5610416647,2.0902083307,0.26458333300000003,1.0054166654,0.13229166650000002,0.1587499998,-1.7462499978000001,0.8995833322000001,0.2381249997,0.6085416659,1.0318749987,-0.2910416663,0.4233333328,0.9260416655,-0.2381249997,6.5087499918,9.524999988000001,-3.9158333284,-2.6987499966,4.4449999944,10.7685416531,-6.7468749915,4.206874994700001,2.2489583305000003,-0.2381249997,3.2808333292,4.3391666612,7.223124990900001,4.3127083279,3.8364583285,2.8045833298000002,0.9789583321,2.1431249973,1.852083331,-3.3337499958000003,1.4552083315,-0.44979166610000004,2.4606249969,3.2808333292,-1.9049999976,1.852083331,-0.4762499994,0.9789583321,1.4816666648,-0.6085416659,-1.9314583309000002,2.2489583305000003,-0.0793749999,1.9579166642,0.0793749999,-0.7672916657000001,-2.9633333296,3.7306249953000004,0.8202083323,0.2381249997,0.9789583321,-1.1377083319,1.2170833318,-0.8466666656,-1.2964583317,-1.5345833314000001,0.1058333332,-0.8466666656,-2.6722916633000002,-0.0529166666,0.9789583321,-0.3174999996,-1.4816666648,1.1906249985000001,-5.0799999936,1.1641666652,2.8310416631,-0.8995833322000001,0.4233333328,0.9789583321,-0.2910416663,-3.1220833294,-2.4341666636,2.3283333304,1.9314583309000002,2.3283333304,2.9897916629,0.3439583329,3.5718749955,-1.1112499986,1.1112499986,4.5243749943000005,-4.2597916613,2.9633333296,2.9368749963000003,0.3439583329,1.6933333312,0.8731249989000001,-1.1641666652,7.3024999908,-11.2447916525,1.1641666652,-1.1641666652,0.2381249997,3.2808333292,-1.9843749975,-6.8527083247,1.9579166642,-2.2489583305000003,1.2964583317,0.8202083323,2.8045833298000002,-3.174999996,4.4185416611,0.5027083327,1.5081249981,-0.6085416659,1.0318749987,6.2441666588,-3.2279166626
1,EO-_002,0.4762499994,1.9049999976,-0.1852083331,-1.7991666644000002,0.7408333324,-0.1058333332,-0.26458333300000003,0.6085416659,2.3283333304,-0.9524999988,0.2910416663,1.3758333316,-1.2170833318,1.1641666652,0.7672916657000001,0.3439583329,0.13229166650000002,0.0264583333,0.6085416659,-1.1112499986,0.13229166650000002,0.26458333300000003,1.8785416643000001,1.9049999976,-1.3229166650000002,0.9789583321,-1.3493749983,0.0793749999,1.7462499978000001,-2.6722916633000002,1.587499998,-0.6614583325000001,-0.8995833322000001,0.2381249997,-0.13229166650000002,0.1058333332,-0.3174999996,-0.3174999996,0.0793749999,-1.7991666644000002,1.7991666644000002,-0.6879166658,-0.3174999996,-0.5556249993,-0.7408333324,0.9524999988,-0.0264583333,0.5556249993,1.4287499982,-0.3439583329,16.3777083127,1.7462499978000001,11.0860416527,7.1172916577,8.3079166562,6.8262499914,6.2441666588,5.6885416595,8.466666656000001,9.763124987700001,-0.8731249989000001,6.5881249917,4.3656249945,4.8154166606,5.9266666592,-2.4341666636,6.7997916581,5.3181249933000005,4.7095833274,6.958541657900001,0.6614583325000001,8.2814583229,0.9524999988,2.3018749971,2.7516666632,-0.5291666660000001,0.5556249993,1.0847916653,8.6254166558,1.0054166654,5.7414583261,3.1485416627,4.3391666612,-1.9579166642,0.5820833326,4.8154166606,5.0535416603000005,-0.1587499998,3.439583329,3.8893749951000003,2.5399999968,1.7991666644000002,2.1431249973,-0.3704166662,8.5724999892,2.8310416631,2.2224999972,3.7570833286000003,4.6037499942,3.3602083291000002,4.3656249945,2.7252083299,0.7143749991,-2.6722916633000002,4.3656249945,6.0060416591,-1.2964583317,1.3229166650000002,-2.4606249969,1.3229166650000002,5.7414583261,2.1960416639,2.8839583297,0.3174999996,2.2224999972,-1.6668749979000002,1.9843749975,0.7143749991,-2.6193749967,2.2224999972,3.3602083291000002,-1.9049999976,2.5135416635000003,2.8045833298000002,2.8839583297,2.7252083299,0.8995833322000001,-2.4870833302,2.0902083307,1.4552083315,1.2170833318,-1.4022916649000001,2.910416663,1.5081249981,0.0529166666,3.4131249957,-2.1695833306,0.8466666656,1.4552083315,1.9843749975,0.7408333324,0.13229166650000002,-3.0691666628000003,0.6879166658,0.0793749999,0.7143749991,2.9897916629,2.3018749971,0.0529166666,2.7252083299
2,EO-_003,-0.5291666660000001,-0.13229166650000002,-1.6668749979000002,-0.0264583333,2.5399999968,-1.4552083315,0.3174999996,3.9422916617,4.4185416611,2.2754166638,0.8995833322000001,0.9789583321,0.2381249997,4.3127083279,2.6458333300000003,0.6614583325000001,1.0847916653,1.587499998,0.3174999996,3.8364583285,0.2381249997,1.4022916649000001,2.1695833306,3.1485416627,0.2116666664,-0.2381249997,1.2170833318,0.1852083331,1.1377083319,0.0793749999,-0.3704166662,-3.7306249953000004,-0.7143749991,-2.7516666632,-1.1906249985000001,-0.6879166658,1.4552083315,-4.7360416607,0.3704166662,0.3704166662,5.4504166598,-0.2116666664,-0.8995833322000001,-0.0264583333,-5.7149999928,1.7991666644000002,-3.5718749955,-1.6668749979000002,-0.7143749991,0.0529166666,7.8845833234,8.5989583225,11.5887499854,9.7366666544,7.6464583237,9.5514583213,7.3818749907,5.4768749931,11.5358333188,9.6572916545,6.402916658600001,7.5670833238,-0.1587499998,5.3181249933000005,7.5670833238,3.8364583285,5.7943749927,4.471458327700001,5.291666660000001,9.8424999876,1.8785416643000001,5.582708326300001,5.2652083267,0.3439583329,5.7149999928,3.439583329,-1.0847916653,4.1274999948,5.027083327000001,0.5556249993,4.0216666616,2.9368749963000003,4.3656249945,4.2597916613,3.6512499954,3.0427083295,6.1647916589000005,2.5929166634,6.7997916581,2.5399999968,2.8045833298000002,1.9579166642,5.7149999928,0.8466666656,4.8418749939,2.1166666640000003,0.4233333328,4.8947916605,5.1858333268,2.6458333300000003,4.8683333272,4.5508333276,-0.5820833326,1.4552083315,3.5718749955,4.7360416607,1.7727083311,2.3018749971,0.5291666660000001,4.1010416615,5.1858333268,0.1587499998,3.7570833286000003,5.7149999928,5.6356249929,2.9368749963000003,1.2435416651,2.6987499966,-0.3968749995,3.3072916625,5.0799999936,1.0054166654,1.5345833314000001,2.4077083303,5.1593749935,0.9260416655,3.1485416627,2.1695833306,4.9212499938,1.2699999984,1.587499998,1.2964583317,1.6139583313,0.793749999,3.6777083287,2.1431249973,0.3704166662,2.1166666640000003,1.3493749983,2.7252083299,2.910416663,2.910416663,0.3968749995,3.5983333288000003,2.3283333304,3.0162499962,0.9789583321,1.5610416647,-0.26458333300000003,3.439583329
3,EO-_004,0.13229166650000002,0.5556249993,0.4762499994,0.2381249997,0.6879166658,0.4762499994,0.8202083323,0.6614583325000001,1.0054166654,0.6879166658,-0.3439583329,1.2435416651,0.13229166650000002,0.7143749991,-0.0793749999,1.1906249985000001,-0.2116666664,0.7408333324,-0.13229166650000002,-0.3439583329,1.0054166654,1.5081249981,-0.5291666660000001,-1.6933333312,-0.6349999992,0.13229166650000002,0.6614583325000001,1.5081249981,-0.26458333300000003,0.8731249989000001,-0.0264583333,1.1906249985000001,1.5081249981,-0.0793749999,0.3704166662,0.1058333332,0.793749999,-0.1587499998,-0.44979166610000004,0.4233333328,0.6614583325000001,-0.13229166650000002,0.8466666656,2.7516666632,-1.4552083315,-0.7672916657000001,0.1852083331,-0.5291666660000001,-0.0793749999,0.7672916657000001,11.8533333184,14.790208314700001,10.3716666536,6.5352083251,9.1281249885,-5.820833326,8.757708322300001,3.7306249953000004,1.3758333316,8.413749989400001,-0.5556249993,4.3920833278,-2.9368749963000003,9.789583321,0.9789583321,3.6512499954,2.6987499966,6.2970833254,-0.3174999996,3.7570833286000003,7.2495833242000005,0.8202083323,4.6566666608,3.5189583289,2.2754166638,3.968749995,2.5929166634,-0.5291666660000001,2.5399999968,5.556249993000001,3.6777083287,3.6512499954,4.206874994700001,-2.3283333304,3.3072916625,-0.3174999996,2.9368749963000003,6.138333325600001,3.3072916625,5.4504166598,1.0054166654,2.6987499966,2.3547916637,2.5135416635000003,5.0799999936,2.8310416631,-0.0264583333,6.376458325300001,5.291666660000001,1.2699999984,2.9633333296,2.9633333296,4.4185416611,1.4022916649000001,-0.1852083331,0.13229166650000002,2.5135416635000003,0.6085416659,0.2116666664,1.1906249985000001,-0.5027083327,1.8256249977,0.26458333300000003,2.7252083299,1.7197916645,2.4077083303,2.9633333296,0.8466666656,1.4552083315,1.7727083311,1.8256249977,-1.3229166650000002,4.1804166614,-1.6933333312,1.2699999984,1.3229166650000002,0.5027083327,0.5291666660000001,1.6404166646,2.0108333308,1.5610416647,3.5718749955,-0.2381249997,2.7516666632,0.7672916657000001,-1.1112499986,2.1960416639,0.3968749995,4.206874994700001,1.4287499982,0.9789583321,1.0318749987,4.9741666604,1.1641666652,1.7727083311,2.5399999968,-0.1852083331,2.7781249965000003,0.2116666664,0.4762499994
4,EO-_005,0.2381249997,0.0529166666,0.0264583333,-0.26458333300000003,0.3439583329,-3.0427083295,-0.2116666664,2.7781249965000003,-1.1641666652,-0.2910416663,1.2170833318,-0.1058333332,0.0,-0.2381249997,0.13229166650000002,0.1058333332,-0.9524999988,2.2224999972,0.3968749995,0.2116666664,-0.1587499998,-0.3174999996,2.0108333308,0.2116666664,-0.8466666656,0.4762499994,-1.0847916653,0.6349999992,0.7408333324,-1.1641666652,2.9368749963000003,-1.0318749987,2.3018749971,1.1112499986,1.3229166650000002,2.0108333308,0.1587499998,-1.587499998,0.793749999,-0.8202083323,1.4287499982,1.3758333316,0.1852083331,-0.2381249997,1.2435416651,2.0637499974,1.6404166646,0.4233333328,-0.13229166650000002,0.5820833326,16.5893749791,10.1335416539,9.9483333208,10.4510416535,9.3662499882,5.9266666592,12.6735416507,5.5033333264,9.4191666548,4.7889583273000005,0.2116666664,4.1010416615,2.7252083299,-0.1852083331,-0.44979166610000004,2.1166666640000003,0.6879166658,4.3656249945,5.4504166598,-1.9314583309000002,2.8839583297,3.8099999952,1.0054166654,3.8364583285,-3.0427083295,4.0745833282,-0.4762499994,4.8947916605,3.0162499962,-1.587499998,-0.7672916657000001,1.9843749975,0.4233333328,1.5610416647,1.5345833314000001,1.7197916645,1.0847916653,4.4449999944,2.6722916633000002,3.3337499958000003,-0.1058333332,-0.7143749991,3.7570833286000003,0.793749999,1.7462499978000001,0.6879166658,2.8045833298000002,2.6722916633000002,2.5135416635000003,0.7408333324,1.7727083311,3.9952083283,3.2014583293000003,3.6777083287,-0.6349999992,1.9314583309000002,0.9789583321,3.2543749959,3.0427083295,1.6404166646,0.6614583325000001,3.7835416619,2.3812499970000003,-0.1587499998,5.556249993000001,0.3439583329,1.8256249977,1.0318749987,1.0583333320000001,2.0902083307,-1.7462499978000001,2.5399999968,0.44979166610000004,2.3018749971,1.0318749987,0.6349999992,1.3229166650000002,1.2699999984,2.6722916633000002,1.9314583309000002,1.0583333320000001,2.2489583305000003,0.5820833326,0.5556249993,-0.5820833326,1.7727083311,3.3072916625,3.3866666624,0.5820833326,0.13229166650000002,1.3493749983,3.5983333288000003,2.9368749963000003,0.7408333324,1.1641666652,0.13229166650000002,-4.6037499942,3.3072916625,-0.0529166666,1.7991666644000002
5,EO-_006,0.7672916657000001,-0.2381249997,0.6614583325000001,-0.0264583333,1.3758333316,-1.4816666648,0.0,1.3493749983,0.6614583325000001,0.9260416655,0.1058333332,0.3439583329,1.4287499982,0.0793749999,1.852083331,-1.5610416647,1.3493749983,0.8202083323,3.0956249961,3.5718749955,0.6879166658,-0.9524999988,-0.3174999996,-0.2381249997,0.8202083323,2.1166666640000003,-0.3439583329,0.793749999,-0.3439583329,0.4233333328,3.3866666624,0.8202083323,0.1852083331,-0.3704166662,2.8574999964,0.1058333332,-0.5027083327,1.2699999984,-0.7672916657000001,2.8839583297,0.7143749991,0.4233333328,0.2116666664,1.8785416643000001,0.0529166666,0.7143749991,2.2224999972,0.7672916657000001,0.3704166662,1.0318749987,13.282083316600001,8.1491666564,-1.852083331,0.8466666656,0.26458333300000003,-0.5820833326,0.2381249997,-0.3174999996,0.1058333332,-0.1852083331,0.5820833326,4.0216666616,-4.9212499938,1.0054166654,-1.0583333320000001,1.0847916653,-3.1220833294,-1.4022916649000001,-0.0793749999,1.9049999976,2.6193749967,1.3493749983,2.1695833306,2.4870833302,-0.7143749991,-0.5291666660000001,-1.2435416651,-0.3174999996,-0.0264583333,-0.2116666664,1.7727083311,-1.5345833314000001,3.3337499958000003,-0.8995833322000001,3.8099999952,-3.8099999952,-2.6458333300000003,0.5027083327,-2.1431249973,2.4606249969,-0.1587499998,5.4239583265,-2.3812499970000003,2.1960416639,0.5820833326,1.7197916645,-0.3174999996,3.4660416623000003,2.910416663,1.2170833318,3.8099999952,1.5610416647,3.7570833286000003,1.8785416643000001,-0.7408333324,0.9789583321,5.9531249925,-1.9049999976,-1.9049999976,6.8262499914,-1.1112499986,4.6037499942,-1.2170833318,5.7149999928,1.0054166654,5.7679166594,1.5610416647,-3.968749995,-2.1695833306,4.6566666608,5.9266666592,-2.4606249969,1.3758333316,1.2170833318,-0.1587499998,3.4131249957,-4.8418749939,2.9633333296,1.9843749975,-4.4449999944,-0.5556249993,4.9741666604,-0.8202083323,1.2964583317,-0.2381249997,-2.2754166638,-0.26458333300000003,-1.6139583313,1.8785416643000001,-3.9158333284,0.2910416663,2.5399999968,3.0427083295,-0.5027083327,3.6247916621000003,3.1485416627,-3.0956249961,1.2964583317,1.5610416647,1.5081249981
6,EO-_007,-0.26458333300000003,1.2964583317,0.3174999996,-0.1852083331,1.6139583313,0.26458333300000003,1.4816666648,2.3018749971,0.6349999992,0.3174999996,0.0529166666,-0.26458333300000003,-0.793749999,0.13229166650000002,0.2381249997,0.7408333324,-0.3968749995,1.0318749987,1.587499998,0.6085416659,0.5027083327,0.5556249993,-0.2910416663,0.3439583329,-0.1852083331,1.2964583317,1.3758333316,0.8731249989000001,0.4233333328,0.5291666660000001,0.3704166662,0.3704166662,0.5820833326,0.6879166658,0.793749999,0.13229166650000002,0.44979166610000004,0.1852083331,0.7143749991,1.6139583313,0.5820833326,1.9843749975,0.9789583321,1.3758333316,2.3283333304,-0.2381249997,-0.1852083331,0.5027083327,0.4233333328,1.3493749983,8.8899999888,7.0379166578,4.9477083271,-0.2910416663,-1.0847916653,0.0793749999,-1.0847916653,0.6349999992,-2.0902083307,-1.5345833314000001,0.9524999988,1.3493749983,1.1906249985000001,-4.1274999948,-0.793749999,-0.8466666656,-1.1112499986,-0.3704166662,2.3812499970000003,-4.9741666604,0.2381249997,-1.3229166650000002,-2.3283333304,4.0216666616,-2.8310416631,-1.9314583309000002,-2.0108333308,-1.6933333312,2.6987499966,-0.4233333328,-2.1960416639,2.910416663,-0.1587499998,0.5556249993,3.2543749959,2.6193749967,-0.8202083323,0.3174999996,1.3493749983,-0.26458333300000003,1.5081249981,-4.5508333276,1.1112499986,1.0318749987,1.852083331,1.2435416651,1.5081249981,2.8839583297,-1.7991666644000002,3.4660416623000003,-0.26458333300000003,0.2910416663,2.1166666640000003,0.9260416655,-1.6404166646,3.5189583289,3.7570833286000003,0.0793749999,1.8785416643000001,0.2910416663,3.3866666624,0.6349999992,-3.7306249953000004,1.3493749983,0.5556249993,-0.4762499994,1.3758333316,-0.1587499998,2.1695833306,1.4552083315,1.4552083315,2.1166666640000003,-2.3283333304,2.2224999972,3.3072916625,1.0583333320000001,0.5027083327,-1.587499998,1.0847916653,0.3174999996,0.0793749999,-0.1852083331,-2.5929166634,2.3283333304,1.3493749983,-2.6458333300000003,-2.5135416635000003,2.3547916637,1.0847916653,1.3493749983,0.3174999996,-1.5345833314000001,-0.13229166650000002,-0.13229166650000002,0.3174999996,3.5718749955,1.6668749979000002,0.4233333328,-0.9524999988,2.8045833298000002
7,EO-_008,-1.7462499978000001,0.0793749999,0.0,1.3493749983,2.6722916633000002,2.1431249973,0.5556249993,0.2910416663,-0.3174999996,0.3968749995,1.8785416643000001,1.4552083315,-0.5556249993,0.793749999,2.1695833306,1.6404166646,-1.4552083315,1.6668749979000002,0.5820833326,2.1695833306,1.1112499986,0.2910416663,1.0054166654,0.26458333300000003,0.6085416659,-0.4762499994,1.0847916653,0.1852083331,0.13229166650000002,1.7991666644000002,1.2964583317,0.13229166650000002,1.4552083315,0.9524999988,0.6614583325000001,-0.0793749999,-0.26458333300000003,0.0793749999,1.3493749983,1.6668749979000002,0.1587499998,0.3174999996,0.3174999996,2.0902083307,-0.5291666660000001,0.2910416663,0.3704166662,0.1852083331,2.9633333296,0.0264583333,9.1281249885,8.704791655700001,7.8052083235000005,14.0493749823,2.6193749967,8.4402083227,3.8099999952,5.2122916601,3.7835416619,4.8418749939,6.2441666588,3.0956249961,1.0054166654,1.9579166642,3.9158333284,4.5772916609,4.2333333280000005,3.5189583289,0.4233333328,2.4077083303,2.0372916641,2.4341666636,1.5345833314000001,2.6193749967,2.2224999972,3.3072916625,0.5820833326,-0.3704166662,0.8202083323,0.2910416663,0.0264583333,2.6987499966,4.0481249949,-0.44979166610000004,1.2435416651,1.0583333320000001,2.0637499974,3.0162499962,3.5983333288000003,1.2699999984,0.3968749995,3.7570833286000003,1.587499998,0.6879166658,1.8785416643000001,0.793749999,0.0793749999,3.0427083295,2.2754166638,2.6722916633000002,2.8839583297,-1.2699999984,4.2333333280000005,2.3812499970000003,1.5081249981,1.852083331,1.5610416647,1.8256249977,2.3018749971,1.3758333316,3.5718749955,1.8256249977,-0.9260416655,1.8785416643000001,1.9314583309000002,3.9158333284,-0.7672916657000001,3.2543749959,2.0372916641,2.4870833302,0.0793749999,2.4077083303,2.2224999972,1.587499998,0.7408333324,1.852083331,1.1112499986,0.3439583329,-0.2116666664,1.2964583317,0.0529166666,0.1852083331,1.1906249985000001,2.2224999972,-0.44979166610000004,3.7835416619,0.26458333300000003,2.8574999964,-0.2116666664,-0.8995833322000001,0.8731249989000001,0.4233333328,-1.4816666648,-0.9524999988,1.6404166646,0.2910416663,1.0318749987,1.6933333312,1.2170833318,-0.6879166658
8,EO-_009,0.6085416659,-0.1058333332,-1.2170833318,0.1058333332,0.1058333332,-0.793749999,0.9524999988,0.2381249997,0.9789583321,-0.3704166662,-0.1852083331,2.5929166634,1.4287499982,1.4552083315,-0.26458333300000003,0.5027083327,-1.1112499986,2.6987499966,0.2381249997,0.44979166610000004,1.9843749975,0.6085416659,-0.7672916657000001,-0.4233333328,1.9843749975,-0.1587499998,-0.5556249993,0.1852083331,-0.1587499998,0.0,-0.3439583329,1.0054166654,0.8466666656,0.8202083323,-1.0054166654,1.1641666652,-0.7408333324,1.587499998,-0.2381249997,0.2910416663,0.5556249993,0.2381249997,-0.7143749991,1.4287499982,-0.8466666656,1.0054166654,-0.6614583325000001,-0.8202083323,0.2910416663,-0.7408333324,14.3404166486,-0.9260416655,5.0535416603000005,0.26458333300000003,-0.6085416659,1.0318749987,1.852083331,1.1906249985000001,4.2597916613,2.0637499974,3.9158333284,0.9524999988,2.1431249973,-0.13229166650000002,-2.0902083307,4.4449999944,1.4816666648,1.3493749983,5.2122916601,3.0691666628000003,0.8995833322000001,1.2170833318,3.0956249961,0.3439583329,-1.4816666648,1.6668749979000002,2.7516666632,2.9368749963000003,2.6987499966,2.4341666636,2.9897916629,0.9789583321,-2.910416663,5.7679166594,3.7306249953000004,-1.5345833314000001,1.1377083319,2.8574999964,4.0216666616,2.0902083307,-0.0264583333,1.9579166642,2.2489583305000003,2.4606249969,2.3812499970000003,2.9368749963000003,0.6614583325000001,3.439583329,0.793749999,0.6349999992,0.0529166666,2.9368749963000003,3.3602083291000002,1.4552083315,-0.2381249997,1.6139583313,1.9049999976,2.5929166634,0.8202083323,0.7672916657000001,0.3704166662,0.2116666664,2.910416663,-0.2381249997,2.6722916633000002,3.3866666624,-0.5820833326,0.8202083323,1.4552083315,0.9789583321,1.9843749975,3.704166662,-0.1587499998,1.5610416647,0.8995833322000001,0.3174999996,-0.2116666664,1.0054166654,1.587499998,0.9789583321,0.4233333328,1.0583333320000001,1.1906249985000001,0.6349999992,0.2910416663,1.0318749987,2.4606249969,0.7408333324,-1.9049999976,1.1906249985000001,1.6139583313,1.587499998,0.5027083327,-0.8466666656,1.4287499982,1.6668749979000002,-0.2116666664,4.1010416615,1.2435416651,0.0793749999
9,EO-_010,0.3968749995,-0.3174999996,-0.4233333328,-0.8202083323,0.0793749999,-1.1906249985000001,-0.3439583329,-0.5291666660000001,2.1695833306,-0.2381249997,0.6879166658,2.5399999968,-0.7143749991,0.4762499994,0.0793749999,1.0583333320000001,-0.5291666660000001,1.4552083315,-0.3174999996,0.7143749991,0.8466666656,-0.8466666656,0.0793749999,-0.0264583333,0.3439583329,-2.3547916637,-1.587499998,1.4287499982,0.3704166662,-2.1166666640000003,0.5820833326,1.8256249977,-0.1058333332,0.1852083331,-0.9524999988,-0.3968749995,-1.3229166650000002,-0.793749999,-1.7197916645,-0.13229166650000002,1.7991666644000002,1.7462499978000001,-2.3812499970000003,0.6879166658,-1.0847916653,0.2116666664,1.2964583317,-1.7462499978000001,0.5556249993,1.0318749987,10.8214583197,10.636249986600001,6.5881249917,3.174999996,12.6735416507,2.5135416635000003,6.402916658600001,5.6356249929,7.8052083235000005,0.4233333328,5.4239583265,4.0216666616,2.9897916629,7.1702083243,3.0162499962,-0.1852083331,2.5664583301,-1.6139583313,2.0372916641,2.7516666632,9.4191666548,1.7462499978000001,2.9897916629,-2.0637499974,2.8310416631,2.5135416635000003,0.3174999996,-0.5556249993,1.6404166646,3.7570833286000003,0.5556249993,-1.3229166650000002,1.8785416643000001,2.8045833298000002,-0.6879166658,-1.3229166650000002,0.1587499998,1.0054166654,0.0529166666,1.3493749983,-0.5027083327,2.1431249973,3.3602083291000002,0.3968749995,4.1274999948,1.5345833314000001,2.4341666636,-0.0529166666,1.0318749987,0.7672916657000001,2.6458333300000003,1.587499998,-1.587499998,2.8839583297,-0.8731249989000001,1.2435416651,1.1641666652,2.7781249965000003,-0.6614583325000001,1.7462499978000001,-0.9524999988,1.1906249985000001,-0.6085416659,3.9422916617,2.0637499974,1.4022916649000001,4.0745833282,-0.6879166658,0.1058333332,2.4870833302,2.0372916641,1.4552083315,3.0691666628000003,1.3493749983,2.4870833302,2.2224999972,0.8202083323,-1.0847916653,1.3229166650000002,0.6349999992,0.6085416659,1.2699999984,4.3127083279,3.7835416619,0.26458333300000003,-2.4341666636,1.0054166654,-0.2910416663,0.7143749991,-3.7306249953000004,-1.0583333320000001,-2.7781249965000003,3.2543749959,0.0264583333,2.5929166634,3.4131249957,-1.7197916645,-0.26458333300000003,-0.3968749995,1.3229166650000002
