comparison,P(greater),P(less),diff_mean,diff_median,diff_sd,HDI_2.5%,HDI_97.5%
EC > EO+,0.9935,0.00649999999999995,0.45439594244068415,0.45397455128588526,0.18212266430534088,0.10405735296170603,0.8224479542479233
EC > EO-,0.9995,0.0004999999999999449,0.644001180155665,0.6293885558111008,0.23981203244966848,0.20631554875543895,1.1382321408202405
EO+ > EO-,0.773,0.22699999999999998,0.18960523771498072,0.18224590010526684,0.2514070699972481,-0.2743372096485909,0.7090964718264575
