group,mean,median,sd,HDI_2.5%,HDI_97.5%,P(β > 0),P(β > 0.5),P(β > 1.0)
EC,1.1176202695516353,1.1239270735996238,0.12046097445156938,0.8606372580059422,1.3281526018857779,1.0,1.0,0.838
EO+,0.6632243271109509,0.6735059509203751,0.1373145889149577,0.3723545236194751,0.9025683657570212,0.9995,0.8825,0.0025
EO-,0.47361908939597014,0.4912886054630436,0.20756583206016466,0.020369863738412906,0.8226422823537294,0.98,0.4865,0.0
