sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_cognitive,rec_r_cognitive,waic
0,EC,1.2079982680624888,0.9128290674605573,-1.6520010791345958,-0.9336509719307262,3.846329162236196,4.03195820555103,35392.62355553136
0,EO+,0.7065737922848941,0.7524691165501186,-0.47071234118373756,-0.6718775869435122,3.6163974689277354,3.414404141534887,35392.62355553136
0,EO-,0.299995183507035,0.22149694546680015,0.01356902245522862,0.1830956336199827,3.695560328245892,3.7208487764517457,35392.62355553136
1,EC,1.0888493048841958,1.014408849053725,-1.7666556676026999,-1.782133524064278,4.255855196523481,4.016364897312624,35150.03526046006
1,EO+,0.8158937028351086,-0.6873800680204802,-0.43482030552323364,0.43356692068839586,3.4340563566466416,2.7748263828122774,35150.03526046006
1,EO-,0.5077621576046847,0.44610696876842526,-0.06983814547709068,-0.03371541109458261,4.054513572896665,3.8639848894720847,35150.03526046006
2,EC,0.9188596689332709,0.7809730189463682,-1.1364007270698828,-1.1220272096745463,4.504772478016092,4.103113625542624,35254.743180332065
2,EO+,0.5496140843960329,0.5603746092551997,-0.6327463684063082,-0.5232432137554688,3.6081671219247045,3.6645930022506397,35254.743180332065
2,EO-,0.5378123273631404,0.19570412102852192,-0.05294121761932771,-0.052879094104556074,3.574868155288857,3.551565814188627,35254.743180332065
3,EC,1.0762250380032057,0.7402946797924168,-1.422391078063164,-1.1944589615421823,4.237103231166875,3.701968886399169,35289.98775504268
3,EO+,0.721826829291185,0.2925540053543026,-0.499868523072047,0.07455279212657587,3.5949039633946396,3.377265834600095,35289.98775504268
3,EO-,0.41456882224714814,0.45665479196356235,-0.052890868167189936,-0.1709403243105185,4.088943618787608,4.046427947953313,35289.98775504268
4,EC,1.0869406581655618,1.0246515151456115,-1.5921757345746632,-1.8195833660836715,4.549622407652862,4.523251289018816,35456.52451272517
4,EO+,0.8553910712211747,0.6760030104779265,-0.6371354145714024,-0.41717515829597096,3.8673441005523044,3.8182003462165546,35456.52451272517
4,EO-,0.58923542425269,0.2191574691117609,-0.16626448217273548,-0.003990171730513714,3.535587353680575,3.3476997874867633,35456.52451272517
5,EC,1.08592206296917,1.097339418137528,-1.3133673719216197,-1.631134860663369,4.695916029874867,4.919789627972262,35661.965387102355
5,EO+,0.667303013927905,0.6347817564848395,-0.42221792061944224,-0.19367781776095727,3.699668411420283,3.4076184244587724,35661.965387102355
5,EO-,0.5109676240837646,0.44619020613594784,0.04408999668070993,-0.054581271114271565,3.6271254847455108,3.6847659135949886,35661.965387102355
6,EC,1.0534582402270343,0.8512610176628136,-1.6121960649468174,-1.429324609201705,4.427712486198845,4.315063555932644,35555.74687745978
6,EO+,0.5953021477415967,0.7535433823496505,-0.3320323927365203,-0.4943996095283467,3.977441110680871,3.6812110505629594,35555.74687745978
6,EO-,0.7341130424070339,0.12302197951243013,-0.08176689499652486,0.44267427995106234,3.673753252640029,3.4205956048220507,35555.74687745978
7,EC,1.0141860237559546,0.7790661196884312,-1.5131739012317913,-1.2501647792219457,4.50051739973601,4.152279585555412,35313.23528873093
7,EO+,0.6314861243550558,0.47992304113516926,-0.4409819303693963,-0.2913427932866949,3.642795985822586,3.4738259398008315,35313.23528873093
7,EO-,0.48203891292087914,0.29589704385636706,0.12524797413949437,0.10112511884124609,3.8276211491999708,3.7239139908793497,35313.23528873093
8,EC,1.0656161579165473,1.0792412965979672,-1.4343739210579032,-1.073579147302211,3.953833614032474,3.713621530022009,35578.17372197428
8,EO+,0.6061095075351162,0.6017004127059244,-0.32801685097772487,-0.10430718663397857,3.860368256951331,3.7431487105186587,35578.17372197428
8,EO-,0.4221144188049875,-0.05703516955209521,0.03812341481612863,0.27643268787719294,4.0427087029990005,3.676369637465932,35578.17372197428
9,EC,1.1314487644811504,1.033270880732578,-1.7014214559712797,-2.0381199222112327,4.474595399808532,4.69646197497017,35757.518058998176
9,EO+,0.8192329980680393,0.8675489854384338,-0.7425214168615469,-0.6470590124730455,3.969693604668993,3.994163470814784,35757.518058998176
9,EO-,0.5986273804764535,0.6679686339679898,-0.07421177513537212,-0.25968002451112815,3.808224847376905,3.8057190125030065,35757.518058998176
10,EC,1.1497255969676234,1.112543415843494,-1.6373984881688715,-1.52295398769531,4.004202151546355,4.120944918206761,35480.45077024178
10,EO+,0.849346202132362,0.6156417710549013,-0.6620271434368269,-0.14243785181165114,3.8304361855056035,3.506024377837709,35480.45077024178
10,EO-,0.2596525138256838,0.34494639482528233,0.12667364105004983,0.09053554176295425,3.9999715400242954,3.69493546401452,35480.45077024178
11,EC,0.9269238771525655,1.0726006265756167,-1.474216598984363,-1.643725362974451,4.579209775842485,4.759256875923493,35655.06082476289
11,EO+,0.7052539546136268,0.4719775537820434,-0.3865126453322395,-0.06549423705877891,3.48852541942032,3.491827830095133,35655.06082476289
11,EO-,0.23163820005729277,0.09276176124349661,0.25703333579452803,0.2735905245834014,3.556198588392416,3.6785509945651214,35655.06082476289
12,EC,1.0674777585945305,0.8719763212109812,-1.835788125912956,-1.7433663500101813,4.467154065126914,4.438363898900073,35359.74392120817
12,EO+,0.7273026296205035,0.2503817445359938,-0.6547026426523486,-0.2871724532670511,3.5524159064680165,3.5404143462219846,35359.74392120817
12,EO-,0.5071935241984001,0.1686600360104497,0.25475981172218115,0.413864275330729,3.6463339740969944,3.413261245503296,35359.74392120817
13,EC,1.0032521408076953,1.0194123829069144,-1.2258309680893003,-1.128321139574934,4.314750580700322,4.067426697049388,35370.50042922769
13,EO+,0.6324046133102523,0.49600368789197863,-0.6750571585559557,-0.568273460952136,3.737807148111413,3.5162919147471667,35370.50042922769
13,EO-,0.48033184710916976,0.005711581210462715,0.12388066627917459,0.3098467581496154,4.014641716067528,3.5688816575083075,35370.50042922769
14,EC,1.2811068226040583,0.8915017225524233,-1.6866475634760874,-0.9212865231220231,3.850409260856719,4.056332048834715,35527.52367592243
14,EO+,0.7269646921006778,0.7232749528894873,-0.5198816834929324,-0.7492176435546858,3.613555636129494,3.746303939957633,35527.52367592243
14,EO-,0.3442370668725816,0.29323807326288875,0.1682258953423511,0.1496382570126485,3.634419571110111,3.9340543992640145,35527.52367592243
15,EC,1.1380037319253775,1.1904317491274017,-1.6814815031764077,-1.9241197533673513,4.525996717068187,4.57826879454125,35534.374967781114
15,EO+,0.8566120185020305,0.6969397501255656,-0.7211052643921585,-0.6168363313078539,3.73149342355427,3.3007660613975265,35534.374967781114
15,EO-,0.3478361492381276,0.2526078370053295,-0.07045129862945015,0.03782020204751155,4.250177314650649,3.830598167015105,35534.374967781114
16,EC,0.9877004859663624,1.0185155725841368,-1.478468304910784,-1.319657913778368,4.620443797915968,3.926634687493001,35115.01141651391
16,EO+,0.5190172883807429,0.41078267697872484,-0.5225639974128687,-0.33813118577167645,3.6264820441092676,3.297428632787291,35115.01141651391
16,EO-,0.41549651516657055,0.48359762655778427,0.02487424047003913,0.020988088656388168,3.6379501979438076,3.0953219070283113,35115.01141651391
17,EC,1.0535691699782521,0.7043705630206768,-1.761428687661026,-1.3610643374111382,4.234057918209742,4.194664476655717,35492.704911937326
17,EO+,0.6134069989024898,0.5562423784746175,-0.2244621912653934,0.006333234559936794,3.4086040982410974,3.1374260263681153,35492.704911937326
17,EO-,0.4120335409545971,0.6868574669709145,0.07157775075917353,-0.18543183314106146,4.075494266099171,4.456908969107469,35492.704911937326
18,EC,1.0791913382413496,1.0212313359590626,-1.6604054707045324,-1.772053003331409,4.690488991206053,4.431329192880457,35332.69819333987
18,EO+,0.6889981605226757,-0.1687712479850807,-0.4278142322217566,-0.05108422624124751,3.6488355856739405,3.606684407058239,35332.69819333987
18,EO-,0.7018336982967982,0.6419665942987539,-0.13553123339992487,-0.001555697479588389,3.705821530074257,3.290632020336142,35332.69819333987
19,EC,1.2376855569293626,1.1188463977754424,-1.7263029019297325,-1.4796403934210114,4.1431287692252186,3.978835077824715,35831.983595418045
19,EO+,0.7993178493815656,0.5347197334803536,-0.5815907273756028,-0.2689440599570402,4.1742843374960055,4.0402743342984735,35831.983595418045
19,EO-,0.4969273706068539,0.498381194892598,0.11933140512577536,0.04524043681798913,4.04899108248647,4.4052318456579265,35831.983595418045
20,EC,1.0437422172992161,0.8266480332261068,-1.4962992291540131,-1.3428590133942577,4.350764505785078,4.086658918029066,35422.027823480516
20,EO+,0.3757168365336337,0.25075855376359524,-0.37713618950905764,-0.4075170682639214,4.075197778080036,4.132820391220326,35422.027823480516
20,EO-,0.5416945976408157,0.14013734350546692,0.11368939903672762,0.39525794076683923,3.4958018629850374,3.4159033933441014,35422.027823480516
21,EC,1.185287230535831,1.1028925544697494,-1.5854870002462575,-1.2647688637730035,3.9408752933550493,3.777582479257636,35366.71597896933
21,EO+,0.6893281893435382,0.5126193388313799,-0.4093233635526181,-0.2947508360373865,3.9684722099191094,3.53271424773488,35366.71597896933
21,EO-,0.4472980632595992,0.7681971585108062,0.21165007191152432,-0.01390957274443523,3.691646795904285,3.3967181810569596,35366.71597896933
22,EC,0.9883522404930594,0.9139690068286548,-1.3346048080176327,-1.636687432473558,4.229721917355122,4.2680013672936274,35441.139577010785
22,EO+,0.5780070809855747,0.10149603208435834,-0.1894463471185769,0.28530238869493163,3.379721480039879,3.1278061058797952,35441.139577010785
22,EO-,0.3865044647142109,0.2688800592693703,0.11883817989160561,0.27019918751706556,4.139960050539849,3.9173685476057276,35441.139577010785
23,EC,0.9929197660440625,1.1210383063236211,-1.4099957843574067,-1.4405491836775566,4.54481686602442,4.176004379490675,35291.05070675561
23,EO+,0.6041398029622007,0.6663954927961036,-0.3806870862521756,-0.5721920608135158,3.629805846203679,3.019771120687678,35291.05070675561
23,EO-,0.5719123899641786,0.3579021882227932,0.0014437734400389503,0.1736558577383654,3.918279893467655,3.584487988227953,35291.05070675561
24,EC,1.1552817549235035,1.0153442132222377,-1.7384751283950268,-1.6240446588040427,3.978602343505951,3.747779341145262,35282.71663123065
24,EO+,0.6957926339081056,0.24273978097898113,-0.6237189999379765,-0.1228082304220403,3.6849255786201667,3.7285353173948304,35282.71663123065
24,EO-,0.49638113750929186,0.12690629650767293,0.05949392166070183,0.13330436301181814,3.537088035243061,3.4489325203228587,35282.71663123065
25,EC,1.1892919743920738,1.1106314983819088,-2.404782996350217,-2.056428591185186,3.7932890176254968,3.7710611074784848,35646.89228089207
25,EO+,0.7641585028008393,0.7211025153698982,-0.9853259177205266,-1.0179142576575733,4.337885952101322,4.259654606569217,35646.89228089207
25,EO-,0.5446462011838584,0.4626488823552548,0.06645584017480391,0.03208946720278906,3.961191409244701,4.111487624980965,35646.89228089207
26,EC,0.9580162745312752,0.9470428857048363,-1.650872276855679,-1.586554839332945,4.050537371493893,3.9230297517639796,35325.23183896938
26,EO+,0.7211542024746581,-1.1861046759056084,-0.6403496593024153,0.15372798474419486,3.697258699012203,3.7307427151527333,35325.23183896938
26,EO-,0.5551956401199092,0.38006378057611945,0.17729320637436966,0.0680227733057737,3.749080279735271,3.549487836636666,35325.23183896938
27,EC,1.1033176587603386,0.9617343826337883,-1.5043189367891527,-1.0233779820811084,4.196030427208359,3.983305204576272,35225.59334799242
27,EO+,0.9806997238765403,0.37484630722808243,-0.587101674041396,0.1893448635201892,3.6323808271416147,3.0827452045524053,35225.59334799242
27,EO-,0.5375322403355363,0.27349912984338287,0.04654267956143929,0.16191617022699223,3.714828308181398,3.352870671211753,35225.59334799242
28,EC,0.9857411359487382,0.7584200013747576,-1.7758344476349068,-1.6953734182264495,3.984663896404024,4.05570674909797,35414.376460995176
28,EO+,0.669325062756823,0.7300650800397672,-0.7538069016468768,-1.019330690707967,3.7955253340019386,3.891309780398056,35414.376460995176
28,EO-,0.449234456546638,0.5247779222087778,0.2919405701476768,0.28835352409124826,3.7417402337488586,3.8232389703003906,35414.376460995176
29,EC,0.9686523872662796,0.74933977275751,-1.2535291876298251,-1.1651030745794473,3.9449828458500784,3.949390622216532,35009.9291479709
29,EO+,0.5992829884035553,0.28977871965367996,-0.4696337119532696,-0.4207815422603837,3.292691901332393,3.348805279914374,35009.9291479709
29,EO-,0.6133661544030398,0.3374696761464662,-0.035217231677760474,0.46703226284779376,3.632683436419611,2.940311020774138,35009.9291479709
30,EC,1.0652451495750905,0.8794965988581547,-1.6059002703574339,-1.5012910698643693,4.635952931892203,4.833494524960045,35718.808039937176
30,EO+,0.5654721142905268,0.6145363201268925,-0.3363145883152759,-0.6108769390609137,3.770415434874609,3.9478039391080673,35718.808039937176
30,EO-,0.6149711481169841,0.5044768504156842,-0.04566372191623546,-0.11820516822027942,3.950297994278679,4.164939486183988,35718.808039937176
31,EC,1.190053024807825,1.0901123406867967,-1.8824314664298698,-1.4730427107277109,4.5692234832944685,4.4415473109872,35694.88176815663
31,EO+,0.7460689632061143,0.8356178780224328,-0.37024320347894224,-0.3116117124722366,3.7618593222841077,3.3967091815320996,35694.88176815663
31,EO-,0.26512204622179664,0.13482408022863598,0.3068847176416146,0.3523490066425078,3.7567464805016857,3.8258121946849664,35694.88176815663
32,EC,1.1158347416762424,1.0752460782361966,-1.530930403467224,-1.62105061182793,4.402180538278557,4.338282080912542,35446.157951675974
32,EO+,0.9526277941013497,0.8255245599131235,-0.7760828726204337,-0.5799096072827363,3.7876458144757605,3.781394338804836,35446.157951675974
32,EO-,0.5498573320506731,0.059952849396222134,-0.009705927308987287,0.2877540319330558,3.5263124849213625,3.1095123208979145,35446.157951675974
33,EC,1.109786511960831,1.0050693482254727,-1.68883234728488,-1.593807188473149,4.047927802563403,4.067636885345582,35514.412442032946
33,EO+,0.8478586963072615,0.8967501755366025,-0.706354735952611,-0.7010069851233656,3.495132415807054,3.8530970081054927,35514.412442032946
33,EO-,0.20035336497954787,0.25364704978047353,0.2152582692110601,0.16423972449285562,3.7004742366069268,3.6485575041665985,35514.412442032946
34,EC,1.2333648629329061,0.9659965264965509,-2.166879382568091,-1.4380217037826242,3.8488889262738044,3.8783081458772273,35252.04768733659
34,EO+,0.5993144065842685,0.09844696527383189,-0.36599542985318584,-0.1887933304992898,3.7773986869341027,3.313185643220962,35252.04768733659
34,EO-,0.4963193517183467,0.10578769674540632,0.11179729234398725,0.31969683463041443,3.8808955327428225,3.7622624894540024,35252.04768733659
35,EC,1.0453337431789032,0.6657667593747776,-1.607772757054159,-1.0773611861009291,4.454780005790346,4.587705402344714,35293.55666278351
35,EO+,0.505103591136133,0.5735125119735255,-0.5833706057386994,-1.1555297905677278,4.3058922680029585,3.7074461628311006,35293.55666278351
35,EO-,0.5379886401102837,-0.09391681089067812,0.08643004377364549,0.41913559593653094,3.53615628793958,3.166828644577227,35293.55666278351
36,EC,1.178654056729826,1.1099763554397626,-1.7825609962411229,-1.5403174574199014,4.347575857993519,4.240619856772614,35381.55872741728
36,EO+,0.648781664133877,-0.2821823041781166,-0.4865948516526816,-0.23860567731279778,3.624600126182365,3.802979595501828,35381.55872741728
36,EO-,0.41377232675527914,0.2317309592480966,0.24313555200319525,0.4570734996256553,3.691408317554349,3.290547562860171,35381.55872741728
37,EC,1.2306581380724544,1.2346124204053552,-1.6311188359191713,-1.5522136467982444,4.3621674088305875,4.310042927318703,35766.3217272718
37,EO+,0.6547311931154023,-0.2045772687838851,-0.5164373212584346,0.1676963805499994,3.7293860418129956,3.2944863467274317,35766.3217272718
37,EO-,0.41921344421930834,0.2719357408415515,0.1914212071240663,0.13670468212696907,4.146989027867628,4.5697259804060915,35766.3217272718
38,EC,0.9959587167364157,0.8846789182697068,-1.4689766615310198,-1.436031869471218,4.732110186710032,4.5595248257806595,35484.48329435301
38,EO+,0.40046982714812285,-0.21352466454447644,-0.37937843263622334,-0.08538359582274073,4.080492367885918,3.8694178120308385,35484.48329435301
38,EO-,0.2609820620563212,-0.21710147831497012,0.2616575199591622,0.5208045183533743,3.679025075999924,3.1497157098820567,35484.48329435301
39,EC,0.7647638864667399,0.8156309161892727,-1.187294521597182,-1.268309819210933,4.376447189424446,4.28527326184482,35214.43055600362
39,EO+,0.826420612381302,0.9607592175203443,-0.7414518750013838,-1.2345555858872868,3.569374969536893,3.7345399571139604,35214.43055600362
39,EO-,0.48222336898300056,0.6971198450368483,0.01505028169731887,-0.14109683687270622,3.3160734416498143,2.8735206483613833,35214.43055600362
40,EC,1.2054030746387934,1.2191784888289772,-1.7080929454062699,-1.594464925983247,4.266539194694107,4.133463377681611,35667.32877893419
40,EO+,0.9303438121420945,0.5047967896843901,-0.6996630382541889,-0.2198201045274183,3.835479838126977,4.2861516992857265,35667.32877893419
40,EO-,0.6276447658591193,0.5442022186914235,-0.12458187239854805,0.05195524654817236,3.3252529062911473,3.226790892552046,35667.32877893419
41,EC,1.1340922691624298,1.1318967385034502,-2.1093407448720494,-1.790273433794197,4.151435270649062,3.872917189274646,35365.86441862486
41,EO+,0.5488627013575826,0.19025896695529781,-0.680757768004872,-0.22980936118214768,3.8117817709260597,3.7951337093493205,35365.86441862486
41,EO-,0.6139584150717329,0.9211480392090714,-0.027578267421722827,-0.2681559800907256,3.8895748485705073,3.317387531917582,35365.86441862486
42,EC,1.0465935570640443,1.1141374622943134,-1.3669575627098802,-1.355349242458272,4.430782506432411,4.45873902701814,35640.30615225139
42,EO+,0.7360805970140957,0.2330034638801553,-0.8460388529858873,-0.27813421693096474,4.365569296417327,4.011490774982427,35640.30615225139
42,EO-,0.3207879262770453,0.4667526883381199,0.15784171519392848,0.039028202596134896,3.5082615172161913,3.3835870610796728,35640.30615225139
43,EC,1.1111694481321797,1.1077893264705527,-1.3896738566214724,-0.9735073618816918,4.359372196581321,4.48998063663815,35586.53214282652
43,EO+,0.6586866144555419,0.29848487742449936,-0.6273675396550483,-0.18850275235180075,3.630014137397764,3.7583218054066316,35586.53214282652
43,EO-,0.4854015050429942,0.43318105376935023,-0.2614397982772793,-0.15901850315901866,3.958946388458015,3.44829933273013,35586.53214282652
44,EC,1.0396968174802053,0.7637026045409165,-1.5944411827297282,-1.1343460951132303,4.000628613679529,3.3889878865109053,35377.988210110176
44,EO+,0.6660947142759368,0.29493163461524463,-0.41415560720667083,0.05255155702273277,3.6518470207610965,3.3675825297132302,35377.988210110176
44,EO-,0.6688985972572601,0.3138297498073856,-0.16393935852103217,0.10069009313233668,4.486103850546462,4.565689873529025,35377.988210110176
45,EC,1.0557114441366071,0.9582094566247459,-1.7304936007593807,-1.3515080132860247,4.451321680727163,4.334353655727943,35492.28759127725
45,EO+,0.5560273367249403,0.6130082416552647,-0.39006152540072403,-0.5407170398652108,3.926179209289212,3.8308895741891478,35492.28759127725
45,EO-,0.15025893656281472,0.4170168876823762,0.2982236775350679,0.11541838282066519,3.7330445412136894,3.4893700741720033,35492.28759127725
46,EC,1.154292465324808,1.235518494742836,-1.7003560975896803,-2.1813682650857427,4.134724452747188,3.6269104128998104,35404.85551337226
46,EO+,0.6193663276051983,0.4665481525222457,-0.8891239802424663,-0.432023428724646,4.2145560825596045,3.734876210932417,35404.85551337226
46,EO-,0.465239174079811,0.3085248799581862,0.13804975211313228,0.29729513199072855,3.8102477202006604,3.52231919992687,35404.85551337226
47,EC,1.1580202057504172,0.9851598760703579,-1.7138589209576303,-1.3292622074058251,4.274547891304631,4.118650462150265,35445.90719423217
47,EO+,0.6735691117969917,0.5654119555674616,-0.2662213097066714,-0.10901609385465372,3.743007830351864,3.490502364180575,35445.90719423217
47,EO-,0.42564454082716413,0.6888911793639754,0.06259820535791606,-0.17148907244934727,3.5363097178408225,3.543689665310829,35445.90719423217
48,EC,1.1618494742217147,0.8313577752574446,-2.084920247012194,-1.6660262366922116,4.154436170235719,3.892737298590676,35025.14983861582
48,EO+,0.9214375779441342,0.6956826839300085,-0.8736540086414196,-0.11291870024539187,3.476737625454493,2.9458675598954,35025.14983861582
48,EO-,0.4395743115066778,0.40585130998536173,0.1137350797233669,0.26795642653376706,3.5820587329964937,3.2305861046134057,35025.14983861582
49,EC,1.01251880237953,0.9589678364956675,-1.4223255961750512,-1.4038498601643523,4.631723180114034,4.606922984233449,35570.773340225525
49,EO+,0.7049066184590109,0.6061659135006527,-0.5969139288513327,-0.33921228368551104,3.6107109835777793,3.3012278960598316,35570.773340225525
49,EO-,0.44623970222888726,0.357342945796675,-0.04032873270202546,0.07923458984420859,4.1824217190933695,4.082877835835713,35570.773340225525
50,EC,0.9174280029800823,0.9033100050823939,-1.4195638308326328,-1.3588594498848034,4.771145407863144,4.936098518349999,35696.61619200866
50,EO+,0.728217847398877,0.30098953338544265,-0.43200693328820794,-0.0617434623369114,3.689645688970748,3.7154856265864913,35696.61619200866
50,EO-,0.4717054683160516,0.42037569995353785,0.06370944412899951,0.09259845524007358,3.973307582777267,3.8599845075603194,35696.61619200866
51,EC,1.0575596611434817,0.9062773447867307,-1.3891526765573572,-0.9886573315837263,4.375431885944841,4.203120587642156,35408.87646772514
51,EO+,0.6907559262572206,0.10259875046110127,-0.4320670736096216,0.1885793139215709,3.8068263779482945,3.125652191446359,35408.87646772514
51,EO-,0.02610702122262657,0.1891336241044096,0.30050820686549723,0.1918254775223069,3.913010170739889,3.8055396623370705,35408.87646772514
52,EC,0.9957888045031437,1.1228161720031373,-1.5965778205996537,-1.5455305560828596,4.057255795552506,3.7715777491300138,35190.394321355016
52,EO+,0.5888938920819141,0.2590674256952815,-0.43837243186822467,-0.1101577575718869,3.82931719070935,3.6024230365253533,35190.394321355016
52,EO-,0.35337472717670787,0.4361136794096363,0.13885231044311155,0.10577843300101317,3.617031867743133,3.137912035141791,35190.394321355016
53,EC,1.1428123085492374,1.1500755915243408,-1.7064213527927719,-2.056240654437678,3.9753844052932052,3.8721109413570325,35408.927246064966
53,EO+,0.25961264757078956,0.1523186823148876,-0.0068027135324352445,-0.00852545536828306,3.821747704791643,3.8184848984602993,35408.927246064966
53,EO-,0.6684667960479498,0.6015004689389045,-0.24364020361067656,-0.13672819476840897,3.788477245150971,3.3113446309656407,35408.927246064966
54,EC,1.156780457899008,1.1255463351120558,-1.691917876053126,-1.765615106203533,4.277440283949852,4.3000905157112745,35559.53072756827
54,EO+,0.7265280324327659,0.5594044733820002,-0.4944059292514502,-0.36441801243490635,3.892621721036447,3.682866178215778,35559.53072756827
54,EO-,0.25292952316111833,0.3541263316808514,0.16549139931350004,0.06690134230028655,3.99273822547953,3.6971319270427285,35559.53072756827
55,EC,0.8521896216206978,0.5183729014064113,-1.1629258777470468,-0.9337151487832769,4.5029885668609975,4.629747168639379,35417.31433616816
55,EO+,0.24976901825704678,0.03197218942111078,-0.12044933182032193,-0.12219985483104658,3.6531233344319034,3.5430088242410394,35417.31433616816
55,EO-,0.5445148527369,0.38745309978050585,-0.11565008453714744,0.11804605871922906,4.193003521308629,3.738884799264719,35417.31433616816
56,EC,1.1241902999386852,0.9377303422934384,-1.3517878968658803,-1.1669525000242926,4.229017638479708,4.524427918002697,35441.756006657066
56,EO+,0.5299247426717535,0.1613528856121981,-0.27804520383564524,0.1080653418622248,4.1666670120790155,3.5269377177299157,35441.756006657066
56,EO-,0.44273230889115484,0.44076632239474356,0.09332630555391144,0.04664121157776413,3.50988475726282,3.301527124677957,35441.756006657066
57,EC,1.2793399246600725,1.3086125651078695,-1.747921262585636,-1.8458246140601986,4.128858468811799,3.6689091822014266,35254.35919992882
57,EO+,0.6303344133170866,0.571274109445121,-0.3133713143507479,-0.10495665138971223,3.5629750944800747,3.2693258485882373,35254.35919992882
57,EO-,0.4878683334374588,0.431058838845223,0.025687869087104524,0.20909919595434112,3.3078478760146877,2.9995365641980616,35254.35919992882
58,EC,1.0578332393954444,0.8575530606608741,-1.6701540982944962,-1.4868554709006019,4.526021600091374,5.061777188720631,35448.05463437912
58,EO+,0.2851836892488941,0.11059920448723445,-0.19517053458837047,-0.3458810181036927,3.7388548860596735,3.874134840453819,35448.05463437912
58,EO-,0.18465204774125726,0.09961225191849235,0.08258963072977492,0.2990834170385235,3.7946002673925165,3.165050584479765,35448.05463437912
59,EC,1.3030727622064509,1.1695951771043775,-1.922479797138293,-1.5146278630879881,4.625620027162231,4.536851865755601,35395.8082524595
59,EO+,0.5740884935444489,0.39085694165354157,-0.426455468227966,-0.26365827144892295,3.6533160931141255,3.2547738607661936,35395.8082524595
59,EO-,0.4711386382679719,0.5931376707790892,-0.025317431603962513,0.08335550085512908,3.825884503616174,3.402944641988646,35395.8082524595
60,EC,1.110905770825334,0.9077911894736008,-1.7579875959696456,-1.6005595861638393,4.156326335504482,4.455621558627739,35337.54654463537
60,EO+,0.6724337839840031,0.7400075497588898,-0.5401604836677713,-0.47560882282365413,3.807794366785011,3.3836203265413625,35337.54654463537
60,EO-,0.3228614897777235,0.2177506339492068,0.05271524272474073,0.12530698239822874,3.53200565795239,3.449972461990906,35337.54654463537
61,EC,1.0294309808402111,1.0375755431353069,-1.5601348235055053,-1.7513468559512089,3.8493745104930555,3.4677028169528326,35303.994798724285
61,EO+,0.38621720679478705,0.17153872764627517,-0.3147695121027492,-0.2689665833781724,3.799114053695307,3.664926627397048,35303.994798724285
61,EO-,0.4276482716496648,0.33027438165335987,0.048135031547265734,0.0013411834436581524,3.862376453138466,3.9515212355089506,35303.994798724285
