sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
18,EO+,0.6889981605226757,0.06929721486058238,-0.4278142322217566,-0.20018495108033035,2.0032162245216885,5.486629409664312,35420.42321689618
18,EO-,0.7018336982967982,0.764568509610465,-0.13553123339992487,-0.11184983548572107,2.0746228203629933,5.164584703750749,35420.42321689618
19,EC,1.2376855569293626,1.2352467636146454,-1.7263029019297325,-1.074207823309759,1.5506177089423798,5.469293572971736,35942.53315224985
19,EO+,0.7993178493815656,0.5054948354955967,-0.5815907273756028,-0.24837149436927616,2.0032162245216885,6.02590900438122,35942.53315224985
19,EO-,0.4969273706068539,0.43022230458558924,0.11933140512577536,0.04349981599235814,2.0746228203629933,6.349300573728659,35942.53315224985
20,EC,1.0437422172992161,0.9110530550037133,-1.4962992291540131,-0.8807655238889267,1.5506177089423798,5.58587902849928,35520.32921330798
20,EO+,0.3757168365336337,0.2629227628073556,-0.37713618950905764,-0.37088641296339137,2.0032162245216885,6.055897295553905,35520.32921330798
20,EO-,0.5416945976408157,-0.2585641981560373,0.11368939903672762,0.4026515155576854,2.0746228203629933,5.212741201746825,35520.32921330798
21,EC,1.185287230535831,1.2184995321683665,-1.5854870002462575,-0.9226721174401656,1.5506177089423798,5.248586549725564,35487.12751511317
21,EO+,0.6893281893435382,0.4714889485246434,-0.4093233635526181,-0.27450459963452556,2.0032162245216885,5.455095470506606,35487.12751511317
21,EO-,0.4472980632595992,0.9018468761990194,0.21165007191152432,-0.15118177901886787,2.0746228203629933,5.425257578345883,35487.12751511317
22,EC,0.9883522404930594,1.0799763577556174,-1.3346048080176327,-1.1630875396953986,1.5506177089423798,5.779175387859707,35532.11973448216
22,EO+,0.5780070809855747,0.5688837472603872,-0.1894463471185769,-0.10210441350552435,2.0032162245216885,4.971366655871607,35532.11973448216
22,EO-,0.3865044647142109,-0.23194940306237644,0.11883817989160561,0.3408904953271389,2.0746228203629933,5.758399196582571,35532.11973448216
23,EC,0.9929197660440625,1.2172762915479594,-1.4099957843574067,-1.0118019770374398,1.5506177089423798,5.668080027643003,35416.40615995245
23,EO+,0.6041398029622007,0.6103176830240129,-0.3806870862521756,-0.40565778911172845,2.0032162245216885,5.018806326814829,35416.40615995245
23,EO-,0.5719123899641786,0.1543474222581812,0.0014437734400389503,0.1614829060631514,2.0746228203629933,5.554841283615772,35416.40615995245
24,EC,1.1552817549235035,1.1582801421180735,-1.7384751283950268,-1.1196434611867478,1.5506177089423798,5.335287575715185,35380.59681755406
24,EO+,0.6957926339081056,0.29466939207633824,-0.6237189999379765,-0.19750482116943102,2.0032162245216885,5.596653426651834,35380.59681755406
24,EO-,0.49638113750929186,-0.4426020508112394,0.05949392166070183,0.26997600177214565,2.0746228203629933,5.205281762128628,35380.59681755406
25,EC,1.1892919743920738,1.307951638583108,-2.404782996350217,-1.368060914420885,1.5506177089423798,5.382372516375417,35779.614303315226
25,EO+,0.7641585028008393,0.678101603941758,-0.9853259177205266,-0.6871689378314112,2.0032162245216885,6.2642268446902385,35779.614303315226
25,EO-,0.5446462011838584,0.3065439841031059,0.06645584017480391,0.07969719040584802,2.0746228203629933,5.985899687754995,35779.614303315226
26,EC,0.9580162745312752,1.1670134774221559,-1.650872276855679,-1.1730522973992592,1.5506177089423798,5.3777235014245015,35429.401562421626
26,EO+,0.7211542024746581,0.5857459670510969,-0.6403496593024153,-0.49008731813516004,2.0032162245216885,5.794059490507797,35429.401562421626
26,EO-,0.5551956401199092,0.184168275666531,0.17729320637436966,0.11926801652650801,2.0746228203629933,5.348753982063067,35429.401562421626
27,EC,1.1033176587603386,1.0232957630749602,-1.5043189367891527,-0.7295582428674886,1.5506177089423798,5.434608270124194,35320.12010204414
27,EO+,0.9806997238765403,0.7367076197650999,-0.587101674041396,-0.17525456355348812,2.0032162245216885,5.045610755318201,35320.12010204414
27,EO-,0.5375322403355363,-0.13021299744960851,0.04654267956143929,0.2503149742904852,2.0746228203629933,5.110880011613233,35320.12010204414
28,EC,0.9857411359487382,0.94180445364429,-1.7758344476349068,-1.2146051756150071,1.5506177089423798,5.542770871062361,35489.70546369075
28,EO+,0.669325062756823,0.7154716132690564,-0.7538069016468768,-0.7321478139081476,2.0032162245216885,5.821736483203999,35489.70546369075
28,EO-,0.449234456546638,-0.19371555373129912,0.2919405701476768,0.4447280531428396,2.0746228203629933,5.51508502555461,35489.70546369075
29,EC,0.9686523872662796,0.887256995193018,-1.2535291876298251,-0.8305774749543078,1.5506177089423798,5.427371753012963,35101.434824775686
29,EO+,0.5992829884035553,0.26327862232323945,-0.4696337119532696,-0.40234739233041766,2.0032162245216885,5.214321952726012,35101.434824775686
29,EO-,0.6133661544030398,-0.4191307220975157,-0.035217231677760474,0.5734954528673133,2.0746228203629933,4.557049567900426,35101.434824775686
30,EC,1.0652451495750905,1.001157761405557,-1.6059002703574339,-1.104081316386773,1.5506177089423798,6.292116216620853,35803.98715221923
