ID,group,precision_pre,log_precision_pre,precision_post1,log_precision_post1,delta_pi,delta_log_pi,openloop_var_post1,openloop_sd_post1,openloop_mean_post1,visual_var_post1,visual_sd_post1,visual_mean_post1
EC_002,EC,0.5794039234455307,-0.5457554221034855,0.7856579937256407,-0.2412337037326516,0.20625407028011,0.30452171837083386,0.7903148950661697,0.8889965663972891,0.8241770822950001,0.1668185474785302,0.4084342633503343,-0.34131249957000004
EC_003,EC,0.22669627887350838,-1.4841441359240213,0.2757956497216668,-1.2880950870552876,0.049099370848158436,0.19604904886873364,0.7785698720310821,0.8823660646415874,0.8909843738774998,0.48756048399229895,0.6982553143315838,-0.05820833326
EC_004,EC,1.0040900434547064,0.004081701963946818,0.995067719983739,-0.004944483854375585,-0.00902232347096743,-0.009026185818322404,1.079962339693365,1.0392123650598877,0.26193749966999996,0.2956871139440197,0.5437711963169984,0.0205052083075
EC_005,EC,0.21273519231192597,-1.5477071153049897,0.19259192964064853,-1.6471816826733507,-0.020143262671277445,-0.09947456736836102,1.4100148534406185,1.1874404631140958,0.1415520831549999,0.33681017629588683,0.5803534925335478,-0.6687343741575
EC_006,EC,0.3792122601423749,-0.9696591775248352,0.2984555067636267,-1.2091344133276922,-0.08075675337874821,-0.239475235802857,1.4735909103884661,1.213915528522667,0.4822031243925,0.42365863761551753,0.6508906495069026,-0.7176822907625
EC_007,EC,0.5750571429297758,-0.5532858641142473,1.8088651760349752,0.5926996740806764,1.2338080331051993,1.1459855381949238,0.5325625047790148,0.7297688022785126,0.12567708317499998,0.3866389065834396,0.621802948355377,-0.7864739573425
EC_008,EC,0.995423311015766,-0.0045871940899186205,0.6553693109994654,-0.4225563686543481,-0.3400540000163006,-0.41796917456442945,0.8470305266840814,0.9203426137499455,-0.26259895800250005,0.3981990463613362,0.6310301469512659,-0.17197916645000003
EC_009,EC,1.0254609362835203,0.025142205443498458,1.3290463396791488,0.2844616472038545,0.30358540339562845,0.25931944176035604,0.9694990809795323,0.9846314442366404,0.2804583329799998,0.36931731986604466,0.607714834331074,-1.1635052068675
EC_010,EC,0.579795118824864,-0.5450804812522272,0.5914743034691036,-0.5251370395012775,0.01167918464423956,0.019943441750949642,0.652238962894268,0.8076131269947684,0.5642239576224999,0.11973255133648832,0.3460239172896699,-0.45772916609000014
EC_011,EC,1.237801176283199,0.21333656062417447,1.0551099020810997,0.05364493409116256,-0.1826912742020994,-0.15969162653301192,0.5909618305255189,0.768740418168265,0.7997031239925,0.196169662049117,0.44291044472795743,-0.4941093743774999
EC_012,EC,0.40206892851086307,-0.9111317411040094,0.5013583906378194,-0.6904340830640489,0.09928946212695633,0.22069765803996055,1.3590516938468074,1.16578372515952,1.0464270820150001,0.9822466020645333,0.9910835494873947,0.23349479137249998
EC_013,EC,0.27395176810600214,-1.2948032168991674,0.765554170799946,-0.26715530113674174,0.4916024026939439,1.0276479157624256,0.7099225391378124,0.8425690114986502,-0.18190104143749994,0.1946475163976817,0.44118875370716526,-0.8658489572424999
EC_014,EC,0.21392868271774684,-1.5421125778314684,0.2737875507746403,-1.295402835479107,0.059858868056893444,0.24670974235236143,1.2045408965987952,1.0975157842139653,-0.16602604145750002,0.3697481158051301,0.6080691702472097,-0.7930885406675
EC_015,EC,0.4090400207640079,-0.8939422774476136,0.3616135901461383,-1.0171790678016075,-0.04742643061786961,-0.12323679035399393,1.2106761487646038,1.100307297424044,0.8684947905725002,0.2285260270405949,0.47804395931817284,-0.19513020808750003
EC_016,EC,0.6223255432508857,-0.4742919417269564,1.4506857926062373,0.3720364050400524,0.8283602493553516,0.8463283467670089,0.5468164654135054,0.7394703952245183,0.38099999952,0.41465859245479036,0.6439398981696898,-0.8936302072075002
EC_017,EC,0.9002985042442614,-0.10502889926610773,0.6450329132890207,-0.43845393513319597,-0.2552655909552407,-0.33342503586708827,1.0860006627728798,1.0421135556036492,0.039687499949999976,0.5786302967691973,0.7606775248219164,0.25069270801750004
EC_019,EC,0.3307816436564488,-1.106296808132703,0.5005916441443767,-0.6919645918049999,0.16981000048792794,0.414332216327703,1.8061676190912983,1.3439373568330104,-0.4802187493949999,0.8518339014048844,0.9229484825302463,-1.6635677062374998
EC_020,EC,0.492811342913303,-0.7076288497523492,1.2460771369067751,0.22000032607889874,0.7532657939934722,0.9276291758312479,0.7999696603051529,0.894410230434085,0.020505208307500005,0.25617819012641335,0.5061404845755902,0.041010416614999996
EC_021,EC,1.1945911103256628,0.17780395973946228,1.5109087437225834,0.41271128684240804,0.31631763339692065,0.23490732710294576,1.5493715060397595,1.2447375249584787,1.0298906237025,0.35902354065075126,0.599185731347761,-0.760677082375
EC_022,EC,1.188528800209426,0.1727162399262164,0.9637034923919692,-0.03697161219043326,-0.2248253078174569,-0.20968785211664967,1.0725916904230746,1.0356600264676987,1.0312135403674998,0.13186618820829252,0.36313384338049864,-0.34065104123749995
EC_023,EC,0.17602827267619436,-1.7371106566395917,0.5633023886863611,-0.5739386925678944,0.3872741160101667,1.1631719640716973,0.4451266352466101,0.6671781135848284,0.39356770783750006,0.13607721851285298,0.36888645748096116,-0.41738020780750007
EC_024,EC,0.1333019840954912,-2.015138167470953,0.2698735404449993,-1.3098017984248778,0.13657155634950807,0.7053363690460752,2.24519669681677,1.4983980435173994,0.21629687472750003,0.4122138255004803,0.6420388037342294,0.18719270809750013
EC_025,EC,0.34633461206897864,-1.0603498843471175,1.075295763435309,0.07259575251567645,0.7289611513663304,1.132945636862794,1.2682614496845446,1.1261711458231136,0.593989582585,0.689488900506295,0.8303546835577523,-0.27781249965000004
